k1,k2,k3,k4,k5,k6,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27
0.2,0.2,0.2,0.2,0.2,0.2,0.2325,1841.51,209.92,1.585,184.817,27.4,0.234029,252808,6258.31,2.50905,7825.88,73.6341,-12.7505,5.56501,0.126805,3.02499,0.603509,-4113.84,-7.11865,-1790.59,-202.598,50.062,169.627,581.213,-50.9281,4.52481,6.54937
0.2,0.2,0.2,0.2,0.2,0.4,0.25,1843.01,209.903,1.4225,186.135,26.0825,0.24812,252982,6248.69,2.09423,7764.5,71.334,-37.9768,10.3678,0.187343,2.31704,0.638471,-4055.59,-33.7526,-1743.91,-285.74,42.8583,191.399,560.113,-43.4381,3.28586,38.3898
0.2,0.2,0.2,0.2,0.2,0.6,0.23,1845.24,209.923,1.4125,188.38,23.8375,0.232682,252858,6246.04,1.85197,7778.41,57.56,-29.3341,11.7021,0.193108,-1.10767,0.927193,-3987.33,7.6541,-1769.61,-248.316,30.3579,257.907,496.742,-43.4429,2.2677,38.3226
0.2,0.2,0.2,0.2,0.2,0.8,0.2725,1846.51,209.88,1.44,189.627,22.59,0.304004,252735,6252.2,2.24702,7880.08,55.1748,-32.1705,8.58667,0.225664,-1.60751,0.555614,-3957.36,-57.1802,-1850.29,-125.023,39.0379,297.301,458.219,-35.6978,3.06556,-11.321
0.2,0.2,0.2,0.2,0.2,1,0.25,1847.54,209.903,1.3225,190.565,21.6525,0.263158,253267,6247.8,2.10375,7768.5,55.7461,-56.8089,10.8089,0.134712,0.214286,1.05952,-3961.54,-45.7076,-1604.89,-426.637,41.0867,266.441,486.753,-33.308,3.13741,44.1843
0.2,0.2,0.2,0.2,0.4,0.2,0.2475,1841.75,209.905,1.5775,185.035,27.1825,0.286961,252855,6252.8,2.60049,7832.19,69.4729,-38.9079,8.29675,0.227638,-4.9335,0.646447,-4041.52,-48.2061,-1785.92,-208.222,40.1878,211.191,547.564,-51.3711,3.24021,5.47731
0.2,0.2,0.2,0.2,0.4,0.4,0.24,1843.42,209.912,1.6975,186.83,25.3875,0.258045,253156,6249.48,2.38696,7751.17,63.045,-41.3135,9.97093,0.238195,0.74015,0.909273,-4015.6,-78.5426,-1700.97,-327.405,45.0812,232.288,520.53,-48.8511,3.5937,49.2014
0.2,0.2,0.2,0.2,0.4,0.6,0.2775,1844.96,209.875,1.615,188.257,23.96,0.301247,253058,6248.53,2.25742,7832.21,55.828,-27.7146,10.4258,0.164749,-0.700708,0.778045,-3987.92,-34.7453,-1677.64,-304.48,35.6761,265.03,489.361,-51.9507,2.98707,12.291
0.2,0.2,0.2,0.2,0.4,0.8,0.2875,1845.94,209.865,1.5925,189.2,23.0175,0.300595,253391,6246.48,2.17689,7769.54,52.4634,-43.6694,11.4474,0.235244,-4.03008,0.979919,-3941.83,-75.8867,-1573.79,-442.961,31.6591,293.526,463.992,-49.2416,2.13246,45.3073
0.2,0.2,0.2,0.2,0.4,1,0.2275,1847.44,209.925,1.465,190.635,21.5825,0.241347,252951,6253.93,2.45992,7792.53,53.7526,-47.1661,7.75144,0.117005,2.48926,0.513766,-3969.07,-45.6073,-1743.78,-259.532,42.659,270.912,480.553,-47.1206,3.48034,33.168
0.2,0.2,0.2,0.2,0.6,0.2,0.26,1841.23,209.893,1.9175,184.843,27.375,0.328221,253122,6249.88,3.68992,7720.51,69.5934,-43.3006,9.73479,0.247068,1.09619,1.06266,-4053.37,-49.7203,-1682.15,-345.352,50.6102,197.88,554.429,-68.0331,3.80294,61.2572
0.2,0.2,0.2,0.2,0.6,0.4,0.1925,1843.22,209.96,1.715,186.695,25.5225,0.200946,252981,6256.36,2.60028,7780.31,60.5158,-26.2099,6.5591,0.177807,0.550088,0.36032,-4009.58,-103.356,-1809.94,-199.259,39.0587,250.99,502.567,-52.6611,3.31971,35.8966
0.2,0.2,0.2,0.2,0.6,0.6,0.2475,1844.81,209.905,1.6125,188.13,24.0875,0.296986,253069,6247.44,2.80435,7765.75,60.0149,-35.3539,10.9684,0.213941,1.90509,0.943202,-3997.34,-41.8833,-1703.39,-312.913,42.7375,251.94,499.68,-50.4006,3.07159,43.4247
0.2,0.2,0.2,0.2,0.6,0.8,0.225,1846.37,209.928,1.7525,189.855,22.3625,0.22995,253146,6249.07,2.79824,7728.5,54.1615,-37.5903,10.1868,0.131015,-1.60639,0.843045,-3960.23,-23.4038,-1665.5,-369.155,43.962,292.318,462.914,-51.3593,3.07741,64.98
0.2,0.2,0.2,0.2,0.6,1,0.2425,1847.2,209.91,1.6925,190.602,21.615,0.279392,252954,6251.17,2.67964,7856.38,51.7662,-40.1182,9.11211,0.122375,0.0189411,0.702619,-3965.77,-37.9617,-1704.74,-260.52,45.4986,285.177,468.569,-54.6088,3.54548,2.23756
0.2,0.2,0.2,0.2,0.8,0.2,0.2125,1841.42,209.94,2.005,185.17,27.0475,0.227914,253183,6261.19,3.12278,7762.08,62.6218,-31.8394,4.13058,0.126754,-1.70288,0.318202,-4020.53,-55.942,-1663.28,-354.479,49.2685,249.218,506.634,-56.6951,3.45089,43.9568
0.2,0.2,0.2,0.2,0.8,0.4,0.245,1843.23,209.907,1.9,186.845,25.3725,0.275664,253065,6252.85,2.57644,7726.17,67.6779,-33.9224,8.27585,0.154887,1.11827,0.855877,-4025.93,9.78797,-1670.89,-363.857,35.1837,220.667,531.827,-55.3815,2.00476,59.3862
0.2,0.2,0.2,0.2,0.8,0.6,0.25,1844.73,209.903,1.9025,188.335,23.8825,0.303258,252919,6248.04,2.86014,7839.91,59.7982,-57.5457,10.6685,0.214912,1.25689,1.07957,-3980.66,33.4069,-1631.93,-336.025,47.6647,252.296,499.836,-63.2755,4.27423,6.4555
0.2,0.2,0.2,0.2,0.8,0.8,0.255,1846.38,209.898,1.8325,189.912,22.305,0.230551,252916,6260.59,2.89167,7783.14,46.3529,-39.1197,4.42971,0.175652,3.12513,0.398221,-3937.21,-34.0816,-1757.49,-241.144,45.469,316.382,434.563,-51.4332,2.63267,41.5631
0.2,0.2,0.2,0.2,0.8,1,0.2425,1847.27,209.91,1.7425,190.725,21.4925,0.33453,252677,6249.3,2.92852,7739.59,56.3157,-46.6797,10.0244,0.23052,-1.34668,0.850194,-3975.4,27.0597,-1830.79,-195.7,48.5733,272.564,482.4,-55.1362,3.42538,58.3538
0.2,0.2,0.2,0.2,1,0.2,0.245,1841.85,209.907,2.11,185.667,26.55,0.275664,252951,6252.07,3.05554,7725.57,69.4962,-37.6568,8.66432,0.203559,2.50272,0.980201,-4049.44,-16.9606,-1742.27,-286.452,46.9751,203.49,547.495,-62.8079,3.70877,58.7748
0.2,0.2,0.2,0.2,1,0.4,0.27,1843.31,209.882,1.9525,186.945,25.2725,0.297845,253467,6244.69,3.31353,7750.69,68.1536,-59.0657,12.3451,0.301078,-1.45629,1.03401,-4029.02,-132.013,-1570.06,-450.961,60.3904,216.272,538.619,-62.3259,4.84255,46.8872
0.2,0.2,0.2,0.2,1,0.6,0.25,1844.83,209.903,2.045,188.575,23.6425,0.243108,253242,6253.02,3.00048,7762.76,62.0197,-56.7757,8.2099,0.209273,0.682957,0.618421,-4004.79,-50.9871,-1599.52,-413.504,50.9994,235.354,517.812,-58.2916,3.6452,43.9179
