k1,k2,k3,o1,o2
0.03,0.02,0.03,1169.066667,1799.533333
0.03,0.02,0.035,2574.3,1848.733333
0.03,0.02,0.04,5479.366667,1108.933333
0.03,0.02,0.045,8163.266667,290
0.03,0.02,0.05,9480.266667,0.2
0.03,0.02,0.055,9882.4,0.133333333
0.03,0.02,0.06,10204.3,0
0.03,0.025,0.03,1896.033333,1747.166667
0.03,0.025,0.035,3515.7,1529.433333
0.03,0.025,0.04,7807.766667,337.2666667
0.03,0.025,0.045,9125.1,39.5
0.03,0.025,0.05,9873.3,0
0.03,0.025,0.055,10051.2,0
0.03,0.025,0.06,10275.9,0
0.03,0.03,0.03,2745.166667,1590.233333
0.03,0.03,0.035,5720.866667,864.2
0.03,0.03,0.04,8932.366667,63
0.03,0.03,0.045,9689.233333,0.066666667
0.03,0.03,0.05,10043.23333,0
0.03,0.03,0.055,10214.56667,0
0.03,0.03,0.06,10367,0
0.03,0.035,0.03,2986.933333,1457.533333
0.03,0.035,0.035,7962.966667,210.7
0.03,0.035,0.04,9445.666667,0
0.03,0.035,0.045,9958.266667,0
0.03,0.035,0.05,10162.33333,0
0.03,0.035,0.055,10307.76667,0
0.03,0.035,0.06,10478.2,0
0.03,0.04,0.03,5555.6,828.1
0.03,0.04,0.035,8720.266667,107.5666667
0.03,0.04,0.04,9715.366667,0
0.03,0.04,0.045,10044.1,0
0.03,0.04,0.05,10242.06667,0
0.03,0.04,0.055,10426.6,0
0.03,0.04,0.06,10455.73333,0
0.03,0.045,0.03,6291.1,683.3333333
0.03,0.045,0.035,8753.8,98.6
0.03,0.045,0.04,9815.566667,0
0.03,0.045,0.045,10089.8,0
0.03,0.045,0.05,10299.4,0
0.03,0.045,0.055,10502.2,0
0.03,0.045,0.06,10492.4,0
0.03,0.05,0.03,8289.866667,157.4333333
0.03,0.05,0.035,9520.433333,0
0.03,0.05,0.04,9752.266667,0
0.03,0.05,0.045,10183.53333,0
0.03,0.05,0.05,10355.36667,0
0.03,0.05,0.055,10434.93333,0
0.03,0.05,0.06,10576.73333,0
0.03,0.055,0.03,8978.2,43.36666667
0.03,0.055,0.035,9729.4,0
0.03,0.055,0.04,10039.8,0
0.03,0.055,0.045,10231.96667,0
0.03,0.055,0.05,10478.76667,0
0.03,0.055,0.055,10476.96667,0
0.03,0.055,0.06,10634.16667,0
0.03,0.06,0.03,8392.5,239.1666667
0.03,0.06,0.035,9752.2,0
0.03,0.06,0.04,10108.03333,0
0.03,0.06,0.045,10338.23333,0
0.03,0.06,0.05,10473.93333,0
0.03,0.06,0.055,10654.5,0
0.03,0.06,0.06,10647.56667,0
0.035,0.02,0.03,855.9666667,1692.866667
0.035,0.02,0.035,1238.4,1829.033333
0.035,0.02,0.04,2906.366667,1830.266667
0.035,0.02,0.045,5400.566667,1081.6
0.035,0.02,0.05,7631.966667,461.1
0.035,0.02,0.055,9110.1,93.86666667
0.035,0.02,0.06,9635.866667,0.066666667
0.035,0.025,0.03,986,1663.8
0.035,0.025,0.035,2073.466667,1745.7
0.035,0.025,0.04,4023.866667,1339.966667
0.035,0.025,0.045,7494.833333,393.3333333
0.035,0.025,0.05,8761.666667,108.7
0.035,0.025,0.055,9573.633333,0
0.035,0.025,0.06,9965.1,0.033333333
0.035,0.03,0.03,1114.333333,1611.766667
0.035,0.03,0.035,3237.866667,1470.466667
0.035,0.03,0.04,6196.333333,802.5666667
0.035,0.03,0.045,8129.566667,315.8
0.035,0.03,0.05,9533.066667,0
0.035,0.03,0.055,9937.166667,0
0.035,0.03,0.06,10090.66667,0
0.035,0.035,0.03,2055.966667,1442.466667
0.035,0.035,0.035,4076.066667,1264.3
0.035,0.035,0.04,8143.5,159.2666667
0.035,0.035,0.045,9215.033333,0
0.035,0.035,0.05,9804.466667,0
0.035,0.035,0.055,9972.833333,0
0.035,0.035,0.06,10209.76667,0
0.035,0.04,0.03,3119.633333,1298.9
0.035,0.04,0.035,5839.633333,785.6666667
0.035,0.04,0.04,8764.833333,66.76666667
0.035,0.04,0.045,9479.7,0.066666667
0.035,0.04,0.05,9875.2,0
0.035,0.04,0.055,10179.03333,0
0.035,0.04,0.06,10215.26667,0
0.035,0.045,0.03,3219.9,1232.066667
0.035,0.045,0.035,6485.3,673.2333333
0.035,0.045,0.04,9245.4,47.13333333
0.035,0.045,0.045,9815.366667,0
0.035,0.045,0.05,10031.93333,0
0.035,0.045,0.055,10133.8,0
0.035,0.045,0.06,10480.66667,0
0.035,0.05,0.03,5965.033333,672.7666667
0.035,0.05,0.035,8486.833333,163.1
0.035,0.05,0.04,9562.433333,0
0.035,0.05,0.045,9865.833333,0
0.035,0.05,0.05,10188.96667,0
0.035,0.05,0.055,10336,0
0.035,0.05,0.06,10422.56667,0
0.035,0.055,0.03,6671.733333,463.8666667
0.035,0.055,0.035,8823.466667,128.9333333
0.035,0.055,0.04,9551.9,0.033333333
0.035,0.055,0.045,9991.6,0
0.035,0.055,0.05,10197.8,0
0.035,0.055,0.055,10373.7,0
0.035,0.055,0.06,10560.43333,0
0.035,0.06,0.03,6909.366667,430.7
0.035,0.06,0.035,9083.266667,57.36666667
0.035,0.06,0.04,9773.4,0
0.035,0.06,0.045,10016.23333,0
0.035,0.06,0.05,10239.73333,0
0.035,0.06,0.055,10380.8,0
