k1,k2,k3,k4,o1,o2,o3
0.03,0.02,0.03,0.03,1269.4,2179.1,342.1
0.03,0.02,0.03,0.1,1488.9,1961.233333,491.1333333
0.03,0.02,0.03,0.3,1636.333333,1397.266667,725.9333333
0.03,0.02,0.035,0.03,2245.3,2130.2,443.2333333
0.03,0.02,0.035,0.1,2751.5,1870.966667,552.0333333
0.03,0.02,0.035,0.3,4061.833333,1247.666667,648.7666667
0.03,0.02,0.04,0.03,5209.466667,1419.433333,358.2
0.03,0.02,0.04,0.1,5241.9,1257.666667,431.9
0.03,0.02,0.04,0.3,6237.166667,717.8,436.3333333
0.03,0.02,0.045,0.03,8443.666667,267.2,87.66666667
0.03,0.02,0.045,0.1,8185.433333,341.9333333,162.4333333
0.03,0.02,0.045,0.3,8343.433333,131.2333333,105.9666667
0.03,0.02,0.05,0.03,8997.433333,195.4333333,74.2
0.03,0.02,0.05,0.1,9597.766667,0,12
0.03,0.02,0.05,0.3,9561.333333,0,11.1
0.03,0.02,0.055,0.03,9897,0,9.8
0.03,0.02,0.055,0.1,9786.933333,0,9.166666667
0.03,0.02,0.055,0.3,9903.833333,0,9.633333333
0.03,0.02,0.06,0.03,10098.3,0,7.433333333
0.03,0.02,0.06,0.1,10149.3,0,7.8
0.03,0.02,0.06,0.3,10138.63333,0,7.666666667
0.03,0.025,0.03,0.03,1553.533333,2154.033333,402
0.03,0.025,0.03,0.1,1905.566667,1884.266667,565
0.03,0.025,0.03,0.3,2300.833333,1224.733333,770.8
0.03,0.025,0.035,0.03,3765.233333,1756.466667,404.3333333
0.03,0.025,0.035,0.1,3606.233333,1597.566667,562.9666667
0.03,0.025,0.035,0.3,5026.5,863.3,611.2
0.03,0.025,0.04,0.03,8036.8,406,126.4333333
0.03,0.025,0.04,0.1,7192.666667,473.3666667,202.3
0.03,0.025,0.04,0.3,8706.833333,40.13333333,49.6
0.03,0.025,0.045,0.03,9075.5,130.5,54.56666667
0.03,0.025,0.045,0.1,9166.733333,0.933333333,14.86666667
0.03,0.025,0.045,0.3,9415.4,0,11.2
0.03,0.025,0.05,0.03,9674.366667,66.03333333,26.03333333
0.03,0.025,0.05,0.1,9704.266667,0.1,9.533333333
0.03,0.025,0.05,0.3,9833.166667,0,9.633333333
0.03,0.025,0.055,0.03,10102.23333,0,7.666666667
0.03,0.025,0.055,0.1,10067.2,0,7.3
0.03,0.025,0.055,0.3,10141.36667,0,6.833333333
0.03,0.025,0.06,0.03,10192.03333,0,6.766666667
0.03,0.025,0.06,0.1,10291.76667,0,6.633333333
0.03,0.025,0.06,0.3,10319.6,0,6.533333333
0.03,0.03,0.03,0.03,2323.133333,2055.933333,425.4333333
0.03,0.03,0.03,0.1,2227.333333,1765.366667,582.4666667
0.03,0.03,0.03,0.3,3099.633333,1058.1,793.9
0.03,0.03,0.035,0.03,5495.866667,1227.133333,324.1333333
0.03,0.03,0.035,0.1,6440.433333,849.9333333,327.3333333
0.03,0.03,0.035,0.3,7308.5,323.4333333,249.6333333
0.03,0.03,0.04,0.03,8473.266667,328.2666667,101.4666667
0.03,0.03,0.04,0.1,8658.6,201.2666667,100.4666667
0.03,0.03,0.04,0.3,8957.6,0.366666667,17.2
0.03,0.03,0.045,0.03,9508.266667,0.033333333,9.7
0.03,0.03,0.045,0.1,9581.733333,0.066666667,10.73333333
0.03,0.03,0.045,0.3,9735.533333,0,8.366666667
0.03,0.03,0.05,0.03,9919.166667,0,7.333333333
0.03,0.03,0.05,0.1,9984.5,0,7.133333333
0.03,0.03,0.05,0.3,9910.6,0,8.433333333
0.03,0.03,0.055,0.03,10073.76667,0,7.5
0.03,0.03,0.055,0.1,10182.76667,0,6.666666667
0.03,0.03,0.055,0.3,10201.23333,0,6.633333333
0.03,0.03,0.06,0.03,10365.06667,0,6.133333333
0.03,0.03,0.06,0.1,10394.36667,0,5.966666667
0.03,0.03,0.06,0.3,10376.16667,0,6.3
0.03,0.035,0.03,0.03,3264.233333,1793.233333,406.8666667
0.03,0.035,0.03,0.1,4271.933333,1262.166667,451.6333333
0.03,0.035,0.03,0.3,4948.2,693.6333333,553.2666667
0.03,0.035,0.035,0.03,7358.7,562.6666667,174
0.03,0.035,0.035,0.1,7930.866667,246.5,111.2333333
0.03,0.035,0.035,0.3,8635.633333,37.93333333,50.36666667
0.03,0.035,0.04,0.03,9209.733333,101.0333333,43.8
