k1,k2,k3,k4,k5,o1,o2,o3,o4,o5,o6,o7,o8,o9
0.2,0.2,0.2,0.2,0.2,11.216,8.8872,6.7332,95.6413,69.0395,63.5031,67.7771,60.877,53.516
0.2,0.2,0.2,0.2,0.4,11.1726,6.8548,8.809,94.7954,43.5428,90.7327,53.6124,75.5145,52.5998
0.2,0.2,0.2,0.2,0.6,11.2384,5.521,10.077,97.5395,28.1756,112.415,42.9514,87.6924,46.5534
0.2,0.2,0.2,0.2,0.8,11.1532,4.585,11.0982,98.5538,20.3392,128.683,36.3074,93.7321,42.4342
0.2,0.2,0.2,0.2,1,11.2122,3.8834,11.7408,95.6803,15.4949,145.855,30.4014,98.6857,38.6597
0.2,0.2,0.2,0.4,0.2,13.4622,8.8808,4.4934,151.816,67.2957,27.5471,85.1789,53.6003,34.1534
0.2,0.2,0.2,0.4,0.4,13.9524,6.8232,6.0608,156.029,43.6615,42.2648,70.5771,69.1353,35.5719
0.2,0.2,0.2,0.4,0.6,14.253,5.4984,7.085,166.235,29.3635,52.7187,58.8743,80.9493,32.2797
0.2,0.2,0.2,0.4,0.8,14.4896,4.5524,7.7944,166.549,21.5412,63.7481,50.1404,89.6242,30.5783
0.2,0.2,0.2,0.4,1,14.6474,3.8962,8.2928,171.391,15.8162,71.4057,43.0654,96.5586,27.3315
0.2,0.2,0.2,0.6,0.2,14.832,8.865,3.1394,190.193,69.4403,12.5789,98.1211,39.2641,22.7706
0.2,0.2,0.2,0.6,0.4,15.5872,6.9052,4.344,205.111,42.848,21.6428,81.2687,55.7672,24.4251
0.2,0.2,0.2,0.6,0.6,16.1236,5.5492,5.1636,218.25,29.2214,28.3421,67.8457,67.2986,23.211
0.2,0.2,0.2,0.6,0.8,16.5606,4.5986,5.6772,229.553,20.4756,33.5141,57.5475,75.9554,20.988
0.2,0.2,0.2,0.6,1,16.8452,3.899,6.0922,240.079,15.5719,36.1565,51.0872,80.5358,18.7353
0.2,0.2,0.2,0.8,0.2,15.6208,8.9162,2.2994,212.657,68.6317,7.40404,104.042,30.7833,17.0901
0.2,0.2,0.2,0.8,0.4,16.6812,6.8626,3.2926,243.049,41.8577,12.2906,86.1214,43.7414,17.8006
0.2,0.2,0.2,0.8,0.6,17.2584,5.5932,3.9848,255.184,29.1619,16.8499,74.253,54.0831,17.3281
0.2,0.2,0.2,0.8,0.8,17.9032,4.5908,4.3424,266.306,20.4787,21.3398,62.0724,63.8375,16.29
0.2,0.2,0.2,0.8,1,18.2968,3.926,4.6136,280.062,16.5086,21.4362,57.6919,65.0639,14.5031
0.2,0.2,0.2,1,0.2,16.1688,8.8524,1.8152,228.617,68.5935,4.732,107.66,24.4579,13.1726
0.2,0.2,0.2,1,0.4,17.2986,6.9068,2.631,256.612,43.398,8.34251,91.5263,36.1094,14.4501
0.2,0.2,0.2,1,0.6,18.1264,5.561,3.149,281.105,28.5472,11.4063,76.5294,45.4247,13.7786
0.2,0.2,0.2,1,0.8,18.7276,4.6216,3.4872,293.772,21.3603,13.4953,67.2422,51.7093,12.997
0.2,0.2,0.2,1,1,19.1724,3.941,3.723,310.628,15.3374,15.0665,57.4895,56.9219,11.3349
0.2,0.2,0.4,0.2,0.2,8.4352,11.0828,7.3184,59.5637,98.0384,68.0718,65.1258,51.3901,66.9092
0.2,0.2,0.4,0.2,0.4,8.44,8.714,9.6824,57.3811,62.5847,103.687,51.1567,64.9085,68.3702
0.2,0.2,0.4,0.2,0.6,8.4896,7.0144,11.3324,58.4332,44.8248,126.468,43.5563,73.2851,64.5577
