k1,k2,k3,k4,k5,o1,o2,o3,o4,o5,o6,o7,o8,o9
0.2,0.2,0.2,0.2,0.2,11.189,8.90191,6.74715,89.6512,63.1906,59.1269,71.4934,63.9025,54.9484
0.2,0.2,0.2,0.2,0.4,11.19,6.88677,8.7596,89.6681,37.8196,85.5029,56.0348,79.3722,54.3598
0.2,0.2,0.2,0.2,0.6,11.1897,5.53151,10.1146,89.6614,24.5364,107.422,45.4433,89.9543,50.0396
0.2,0.2,0.2,0.2,0.8,11.1919,4.58744,11.059,89.7264,16.9891,124.683,37.9696,97.4868,45.1874
0.2,0.2,0.2,0.2,1,11.1899,3.90622,11.74,89.6691,12.3903,138.163,32.4769,102.932,40.7458
0.2,0.2,0.2,0.4,0.2,13.4668,8.90079,4.46961,143.878,63.1304,23.2018,90.831,54.7567,35.6013
0.2,0.2,0.2,0.4,0.4,13.916,6.88677,6.03364,152.217,37.8196,37.1879,73.8687,72.2553,36.526
0.2,0.2,0.2,0.4,0.6,14.2446,5.53157,7.06,158.623,24.5372,48.7005,61.4184,84.8402,34.0678
0.2,0.2,0.2,0.4,0.8,14.4914,4.58736,7.75769,163.61,16.9879,57.5968,52.1999,94.0245,30.9404
0.2,0.2,0.2,0.4,1,14.6804,3.90626,8.24969,167.538,12.3902,64.4095,45.2437,100.872,27.9783
0.2,0.2,0.2,0.6,0.2,14.822,8.89953,3.11484,183.061,63.0782,10.1421,102.184,41.7019,24.2355
0.2,0.2,0.2,0.6,0.4,15.5841,6.88677,4.36551,199.121,37.8195,18.0825,84.5906,58.3558,25.8039
0.2,0.2,0.2,0.6,0.6,16.1372,5.5316,5.16761,211.594,24.5376,24.5733,71.1206,70.4217,24.3673
0.2,0.2,0.2,0.6,0.8,16.5481,4.58736,5.70091,221.318,16.9879,29.5082,60.8953,79.2146,22.2451
0.2,0.2,0.2,0.6,1,16.8605,3.90625,6.06958,228.979,12.3902,33.2256,53.0577,85.7436,20.1644
0.2,0.2,0.2,0.8,0.2,15.6481,8.89953,2.2888,208.792,63.0782,5.01829,109.004,31.3986,17.4157
0.2,0.2,0.2,0.8,0.4,16.6344,6.88677,3.31519,231.192,37.8195,9.85184,91.2081,46.4357,19.1865
0.2,0.2,0.2,0.8,0.6,17.3441,5.53159,3.96062,248.626,24.5376,13.7838,77.1755,57.3004,18.3124
0.2,0.2,0.2,0.8,0.8,17.8673,4.58736,4.38179,262.196,16.9879,16.7343,66.3516,65.1624,16.7888
0.2,0.2,0.2,0.8,1,18.2619,3.90626,4.66817,272.854,12.3902,18.9282,57.9742,70.9543,15.2477
0.2,0.2,0.2,1,0.2,16.1675,8.89954,1.76934,225.284,63.0782,2.81273,113.217,24.2552,13.2023
0.2,0.2,0.2,1,0.4,17.3183,6.88677,2.63136,252.683,37.8195,5.96013,95.4244,37.636,14.9702
0.2,0.2,0.2,1,0.6,18.1401,5.53158,3.16465,273.993,24.5375,8.51138,81.0791,47.2522,14.4083
0.2,0.2,0.2,1,0.8,18.7417,4.58736,3.50737,290.534,16.9879,10.4066,69.8887,54.1574,13.2517
0.2,0.2,0.2,1,1,19.1927,3.90625,3.73741,303.475,12.3902,11.8029,61.1701,59.2067,12.0519
0.2,0.2,0.4,0.2,0.2,8.46199,11.0975,7.27576,52.8038,92.5096,63.832,68.5594,53.396,69.7303
0.2,0.2,0.4,0.2,0.4,8.46197,8.7021,9.67232,52.8028,57.296,96.1003,54.3524,67.6087,71.2015
0.2,0.2,0.4,0.2,0.6,8.46194,7.0627,11.3117,52.8023,38.0996,123.646,44.487,77.4732,67.0261
0.2,0.2,0.4,0.2,0.8,8.46196,5.903,12.4714,52.8027,26.8572,145.851,37.4156,84.5455,61.5458
0.2,0.2,0.4,0.2,1,8.46189,5.05506,13.3192,52.8029,19.8451,163.548,32.1851,89.7767,56.2045
0.2,0.2,0.4,0.4,0.2,10.2765,11.5572,5.00128,85.966,102.391,27.0365,91.8282,46.8715,49.8615
0.2,0.2,0.4,0.4,0.4,10.7149,9.1538,6.96766,92.411,64.8596,46.143,76.65,64.2155,53.6898
0.2,0.2,0.4,0.4,0.6,11.0375,7.49542,8.30351,97.4074,43.9378,62.7283,65.1172,77.1377,51.9704
