k1,k2,k3,k4,k5,o1,o2,o3,o4,o5,o6,o7,o8,o9
0.2,0.2,0.2,0.2,0.2,1.35246,0.913914,0.37746,25.8811,12.5679,3.03118,16.9567,7.61036,5.1747
0.2,0.2,0.2,0.2,0.4,1.36166,0.622714,0.65946,26.3187,6.73526,7.57376,11.9452,12.4826,5.74016
0.2,0.2,0.2,0.2,0.6,1.35426,0.442714,0.84686,25.9029,4.44242,10.3662,9.36872,15.1334,5.62407
0.2,0.2,0.2,0.2,0.8,1.36446,0.304314,0.97506,26.7103,2.81409,13.2054,7.11143,17.3632,4.64237
0.2,0.2,0.2,0.2,1,1.36226,0.223114,1.05846,27.1787,1.92399,15.185,5.6268,18.8026,3.90869
0.2,0.2,0.2,0.4,0.2,1.55446,0.914114,0.17526,33.9158,12.4967,1.31435,19.0838,4.72937,2.80535
0.2,0.2,0.2,0.4,0.4,1.62566,0.648914,0.36926,36.6473,7.16998,3.06414,14.7543,8.75325,3.5336
0.2,0.2,0.2,0.4,0.6,1.69446,0.425314,0.52406,39.6639,3.95043,4.57604,11.0063,12.0379,3.3426
0.2,0.2,0.2,0.4,0.8,1.71446,0.306514,0.62286,40.9947,2.79898,6.01179,8.6963,13.9834,2.89953
0.2,0.2,0.2,0.4,1,1.69786,0.208514,0.73746,41.5181,1.78288,7.68975,6.60796,16.0117,2.36691
0.2,0.2,0.2,0.6,0.2,1.65266,0.920714,0.0704595,37.9472,12.8053,0.544894,20.59,2.70722,1.53596
0.2,0.2,0.2,0.6,0.4,1.74926,0.680514,0.21406,42.0332,7.46394,1.68754,16.266,6.18595,2.43762
0.2,0.2,0.2,0.6,0.6,1.83566,0.472314,0.33586,46.1395,4.25709,2.68998,12.4369,9.1012,2.40055
0.2,0.2,0.2,0.6,0.8,1.86706,0.369514,0.40726,48.5233,3.27642,3.17879,10.7194,10.1732,2.10003
0.2,0.2,0.2,0.6,1,1.88206,0.241114,0.52066,50.1113,1.95755,4.39356,7.88782,12.5515,1.8114
0.2,0.2,0.2,0.8,0.2,1.71486,0.900914,0.0280595,41.4328,12.2504,0.435604,21.2101,1.444,0.768352
0.2,0.2,0.2,0.8,0.4,1.84026,0.684114,0.11946,46.4498,7.44934,0.962076,17.141,4.29708,1.61323
