param1,param2,param3,output1,output2
0.03,0.02,0.03,807.0,1826.0
0.03,0.02,0.03,2895.0,1870.0
0.03,0.02,0.03,657.0,1773.0
0.03,0.02,0.03,984.0,1847.0
0.03,0.02,0.03,754.0,1750.0
0.03,0.02,0.03,363.0,1912.0
0.03,0.02,0.03,1327.0,1885.0
0.03,0.02,0.03,1172.0,1434.0
0.03,0.02,0.03,856.0,1924.0
0.03,0.02,0.03,719.0,1804.0
0.03,0.02,0.03,500.0,1585.0
0.03,0.02,0.03,434.0,1592.0
0.03,0.02,0.03,1035.0,1588.0
0.03,0.02,0.03,780.0,1752.0
0.03,0.02,0.03,1628.0,1901.0
0.03,0.02,0.03,939.0,1772.0
0.03,0.02,0.03,198.0,1847.0
0.03,0.02,0.03,1478.0,1719.0
0.03,0.02,0.03,1124.0,1836.0
0.03,0.02,0.03,1818.0,1880.0
0.03,0.02,0.03,271.0,1737.0
0.03,0.02,0.03,427.0,1661.0
0.03,0.02,0.03,1690.0,2042.0
0.03,0.02,0.03,870.0,1872.0
0.03,0.02,0.03,1419.0,1921.0
0.03,0.02,0.03,553.0,1937.0
0.03,0.02,0.03,1590.0,1572.0
0.03,0.02,0.03,1557.0,1921.0
0.03,0.02,0.03,2798.0,1986.0
0.03,0.02,0.03,3429.0,1840.0
0.03,0.02,0.035,3615.0,1747.0
0.03,0.02,0.035,4061.0,1773.0
0.03,0.02,0.035,3044.0,1911.0
0.03,0.02,0.035,1291.0,1901.0
0.03,0.02,0.035,3135.0,1854.0
0.03,0.02,0.035,3018.0,1802.0
0.03,0.02,0.035,2117.0,1821.0
0.03,0.02,0.035,2162.0,1817.0
0.03,0.02,0.035,1490.0,1874.0
0.03,0.02,0.035,3050.0,1931.0
0.03,0.02,0.035,1670.0,1924.0
0.03,0.02,0.035,3650.0,1946.0
0.03,0.02,0.035,3235.0,1729.0
0.03,0.02,0.035,1987.0,1651.0
0.03,0.02,0.035,1671.0,1978.0
0.03,0.02,0.035,1788.0,1644.0
0.03,0.02,0.035,1900.0,1904.0
0.03,0.02,0.035,2301.0,1782.0
0.03,0.02,0.035,893.0,1716.0
0.03,0.02,0.035,2876.0,1926.0
0.03,0.02,0.035,1023.0,1950.0
0.03,0.02,0.035,4517.0,1952.0
0.03,0.02,0.035,3631.0,1905.0
0.03,0.02,0.035,2600.0,1862.0
0.03,0.02,0.035,2189.0,1852.0
0.03,0.02,0.035,4341.0,1954.0
0.03,0.02,0.035,2850.0,1744.0
0.03,0.02,0.035,3016.0,2083.0
0.03,0.02,0.035,2683.0,1868.0
0.03,0.02,0.035,1425.0,1661.0
0.03,0.02,0.04,8378.0,0.0
0.03,0.02,0.04,9622.0,0.0
0.03,0.02,0.04,9029.0,0.0
0.03,0.02,0.04,3915.0,1737.0
0.03,0.02,0.04,7900.0,18.0
0.03,0.02,0.04,7141.0,63.0
0.03,0.02,0.04,3795.0,1747.0
0.03,0.02,0.04,3770.0,1700.0
0.03,0.02,0.04,4341.0,1862.0
0.03,0.02,0.04,3126.0,1862.0
0.03,0.02,0.04,4089.0,1770.0
0.03,0.02,0.04,4623.0,1820.0
0.03,0.02,0.04,8696.0,0.0
0.03,0.02,0.04,4115.0,1719.0
0.03,0.02,0.04,9066.0,1.0
0.03,0.02,0.04,4210.0,1632.0
0.03,0.02,0.04,3347.0,1785.0
0.03,0.02,0.04,4733.0,1613.0
0.03,0.02,0.04,2978.0,1706.0
0.03,0.02,0.04,2929.0,1716.0
0.03,0.02,0.04,8413.0,0.0
0.03,0.02,0.04,3720.0,1867.0
0.03,0.02,0.04,8986.0,0.0
0.03,0.02,0.04,5274.0,1734.0
0.03,0.02,0.04,3165.0,1800.0
0.03,0.02,0.04,4226.0,1686.0
