k1,k2,k3,o1,o2
0.03,0.03,0.03,2775.0,1660.0
0.03,0.03,0.03,3207.0,1838.0
0.03,0.03,0.03,1832.0,1736.0
0.03,0.03,0.03,1427.0,1648.0
0.03,0.03,0.03,1839.0,1609.0
0.03,0.03,0.03,2703.0,1821.0
0.03,0.03,0.03,2681.0,1696.0
0.03,0.03,0.03,2217.0,1686.0
0.03,0.03,0.03,2718.0,1760.0
0.03,0.03,0.03,2676.0,1740.0
0.03,0.03,0.03,1585.0,1599.0
0.03,0.03,0.03,1241.0,1665.0
0.03,0.03,0.03,2334.0,1800.0
0.03,0.03,0.03,7529.0,948.0
0.03,0.03,0.03,1459.0,1617.0
0.03,0.03,0.03,1090.0,1387.0
0.03,0.03,0.03,3138.0,1708.0
0.03,0.03,0.03,3428.0,1573.0
0.03,0.03,0.03,1799.0,1635.0
0.03,0.03,0.03,1133.0,1617.0
0.03,0.03,0.03,2378.0,1768.0
0.03,0.03,0.03,1321.0,1654.0
0.03,0.03,0.03,9579.0,0.0
0.03,0.03,0.03,1196.0,1615.0
0.03,0.03,0.03,1234.0,1466.0
0.03,0.03,0.03,3794.0,1555.0
0.03,0.03,0.03,3077.0,1850.0
0.03,0.03,0.03,4105.0,1733.0
0.03,0.03,0.03,1473.0,1655.0
0.03,0.03,0.03,1284.0,1684.0
0.03,0.03,0.04,9542.0,0.0
0.03,0.03,0.04,8977.0,0.0
0.03,0.03,0.04,9417.0,0.0
0.03,0.03,0.04,9478.0,0.0
0.03,0.03,0.04,8726.0,0.0
0.03,0.03,0.04,9641.0,0.0
0.03,0.03,0.04,8842.0,0.0
0.03,0.03,0.04,9532.0,0.0
0.03,0.03,0.04,9317.0,0.0
0.03,0.03,0.04,8819.0,0.0
0.03,0.03,0.04,8226.0,1.0
0.03,0.03,0.04,9179.0,0.0
0.03,0.03,0.04,8676.0,0.0
0.03,0.03,0.04,9507.0,0.0
0.03,0.03,0.04,9785.0,0.0
0.03,0.03,0.04,9088.0,0.0
0.03,0.03,0.04,9327.0,0.0
0.03,0.03,0.04,9799.0,0.0
0.03,0.03,0.04,8796.0,0.0
0.03,0.03,0.04,9507.0,0.0
0.03,0.03,0.04,9348.0,0.0
0.03,0.03,0.04,9226.0,0.0
0.03,0.03,0.04,9799.0,0.0
0.03,0.03,0.04,9498.0,0.0
0.03,0.03,0.04,9164.0,0.0
0.03,0.03,0.04,3486.0,1511.0
0.03,0.03,0.04,5918.0,1573.0
0.03,0.03,0.04,8037.0,0.0
0.03,0.03,0.04,8362.0,0.0
0.03,0.03,0.04,8804.0,0.0
0.03,0.03,0.05,10192.0,0.0
0.03,0.03,0.05,10490.0,0.0
0.03,0.03,0.05,9617.0,0.0
