k1,k2,o1
0.0,0.0,0.0
0.0,0.02,0.0
0.0,0.2,0.0
0.00396,0.0,908.0
0.039599999999999996,0.0,991.4
0.039599999999999996,0.02,975.6
0.039599999999999996,0.04,986.2
0.039599999999999996,0.06,980.6
0.039599999999999996,0.08,991.0
0.039599999999999996,0.1,960.6
0.039599999999999996,0.12,986.4
0.039599999999999996,0.14,982.8
0.039599999999999996,0.16,979.6
0.039599999999999996,0.18,977.8
0.00396,0.02,914.0
0.039599999999999996,0.2,985.0
0.039599999999999996,0.22,989.8
0.039599999999999996,0.24,986.0
0.039599999999999996,0.26,983.6
0.039599999999999996,0.28,972.4
0.039599999999999996,0.3,972.0
0.039599999999999996,0.32,998.4
0.039599999999999996,0.34,982.2
0.039599999999999996,0.36,987.4
0.039599999999999996,0.38,996.4
0.00396,0.04,920.2
0.039599999999999996,0.4,974.4
0.039599999999999996,0.42,988.6
0.039599999999999996,0.44,998.6
0.039599999999999996,0.46,990.4
0.039599999999999996,0.48,979.2
0.039599999999999996,0.5,992.6
0.039599999999999996,0.52,995.8
0.039599999999999996,0.54,970.2
0.039599999999999996,0.56,976.4
0.039599999999999996,0.58,979.4
0.00396,0.06,900.4
0.039599999999999996,0.6,992.8
0.039599999999999996,0.62,981.8
0.039599999999999996,0.64,981.4
0.039599999999999996,0.66,983.0
0.039599999999999996,0.68,990.4
0.039599999999999996,0.7000000000000001,978.4
0.039599999999999996,0.72,1004.2
0.039599999999999996,0.74,980.6
0.039599999999999996,0.76,984.2
0.039599999999999996,0.78,997.2
0.00396,0.08,914.4
0.039599999999999996,0.8,980.8
0.039599999999999996,0.8200000000000001,963.0
0.039599999999999996,0.84,970.6
0.039599999999999996,0.86,989.8
0.039599999999999996,0.88,981.2
0.039599999999999996,0.9,991.0
0.039599999999999996,0.92,977.2
0.039599999999999996,0.9400000000000001,998.8
0.039599999999999996,0.96,994.4
0.039599999999999996,0.98,978.8
0.00396,0.1,911.0
0.04158,0.0,977.8
0.04158,0.02,1005.2
0.04158,0.04,1001.4
0.04158,0.06,968.6
0.04158,0.08,989.0
0.04158,0.1,991.2
0.04158,0.12,991.0
0.04158,0.14,986.6
0.04158,0.16,989.6
0.04158,0.18,993.0
0.00396,0.12,897.6
0.04158,0.2,984.8
0.04158,0.22,979.8
0.04158,0.24,1013.2
0.04158,0.26,987.2
0.04158,0.28,977.4
0.04158,0.3,987.2
0.04158,0.32,989.4
0.04158,0.34,977.4
0.04158,0.36,976.4
0.04158,0.38,976.4
0.00396,0.14,905.6
0.04158,0.4,991.0
0.04158,0.42,984.0
0.04158,0.44,986.8
0.04158,0.46,990.6
0.04158,0.48,965.0
0.04158,0.5,980.8
0.04158,0.52,1004.4
0.04158,0.54,977.2
0.04158,0.56,988.6
0.04158,0.58,997.2
0.00396,0.16,911.4
0.04158,0.6,982.2
0.04158,0.62,973.4
0.04158,0.64,1002.4
0.04158,0.66,995.0
0.04158,0.68,983.6
0.04158,0.7000000000000001,987.0
0.04158,0.72,992.6
0.04158,0.74,973.8
0.04158,0.76,987.0
0.04158,0.78,993.6
0.00396,0.18,908.0
0.04158,0.8,991.4
0.04158,0.8200000000000001,992.2
0.04158,0.84,987.6
0.04158,0.86,983.8
0.04158,0.88,993.4
0.04158,0.9,991.6
0.04158,0.92,983.4
0.04158,0.9400000000000001,1000.6
0.04158,0.96,992.8
0.04158,0.98,995.2
0.0,0.22,0.0
0.00396,0.2,902.2
0.04356,0.0,991.0
0.04356,0.02,990.2
0.04356,0.04,998.4
0.04356,0.06,993.8
0.04356,0.08,983.2
0.04356,0.1,990.2
0.04356,0.12,984.4
0.04356,0.14,973.0
0.04356,0.16,986.2
0.04356,0.18,978.2
0.00396,0.22,903.8
0.04356,0.2,992.6
0.04356,0.22,969.4
0.04356,0.24,1001.8
0.04356,0.26,992.6
0.04356,0.28,987.0
0.04356,0.3,972.4
0.04356,0.32,964.4
0.04356,0.34,965.8
0.04356,0.36,980.6
0.04356,0.38,987.8
0.00396,0.24,904.0
0.04356,0.4,979.4
0.04356,0.42,984.8
0.04356,0.44,979.4
0.04356,0.46,997.4
0.04356,0.48,979.8
0.04356,0.5,983.6
0.04356,0.52,977.2
0.04356,0.54,987.4
0.04356,0.56,990.6
0.04356,0.58,1002.6
0.00396,0.26,912.4
0.04356,0.6,980.8
0.04356,0.62,984.8
0.04356,0.64,984.8
0.04356,0.66,985.2
0.04356,0.68,973.8
0.04356,0.7000000000000001,996.6
0.04356,0.72,985.0
0.04356,0.74,975.6
0.04356,0.76,985.2
0.04356,0.78,980.4
0.00396,0.28,914.6
0.04356,0.8,966.8
0.04356,0.8200000000000001,984.8
0.04356,0.84,973.2
0.04356,0.86,978.2
0.04356,0.88,989.6
0.04356,0.9,969.0
0.04356,0.92,971.2
0.04356,0.9400000000000001,990.2
