k1,k2,k3,k4,k5,o1,o2,o3,o4,o5,o6,o7,o8,o9
0.377678,0.246106,0.454401,0.35334,0.663725,10.216,8.4658,8.1546,88.0698,64.1357,65.1269,65.6323,65.832,56.1316
0.447841,0.86683,0.474666,0.880726,0.300531,17.1486,7.735,1.9528,245.023,54.9818,5.17081,104.074,27.1364,12.4638
0.405939,0.0961442,0.13014,0.357314,0.614479,13.4338,6.7986,6.604,144.986,46.0268,48.018,68.164,68.4225,40.1601
0.282431,0.699607,0.562971,0.755569,0.470885,15.017,7.9162,3.9032,188.898,56.7345,16.9948,92.4001,47.54,25.0085
0.643193,0.626854,0.753062,0.22826,0.324913,10.5452,11.5484,4.7428,92.7437,114.065,25.9694,91.9428,41.4327,46.4975
0.0703014,0.528471,0.0644602,0.336692,0.0155511,19.3072,3.83,3.6992,282.542,15.515,33.6318,49.9548,69.7724,10.6904
0.133683,0.334766,0.348521,0.529476,0.666459,14.2076,5.7972,6.8316,171.962,30.8638,45.9436,62.8673,77.8977,31.1125
0.345972,0.916764,0.807454,0.593505,0.555337,13.1286,8.4244,5.2834,145.474,64.9137,27.8178,86.4239,54.7727,35.9627
0.658356,0.333368,0.54436,0.988265,0.279359,11.9048,12.733,2.1986,123.096,141.509,5.76911,119.8,19.8023,21.4729
0.00753236,0.574236,0.993283,0.546468,0.188986,9.651,11.8664,5.319,83.1066,112.227,35.0767,85.0018,45.1956,50.8598
0.432856,0.0439947,0.391401,0.0371067,0.913423,3.4682,8.2498,15.1184,11.1176,63.0736,219.874,15.642,27.5919,105.996
0.749631,0.844489,0.55279,0.53581,0.638994,15.0636,7.7448,4.028,191.193,55.0027,17.2619,91.4669,48.0692,24.9969
0.10239,0.271893,0.384997,0.401775,0.939264,12.294,4.6188,9.9236,128.416,20.0435,93.3348,42.0041,98.1425,35.2181
0.764406,0.920983,0.0514744,0.961484,0.263183,24.4642,1.9248,0.4474,487.875,5.34741,0.667367,38.8475,9.57963,0.890022
0.930103,0.234807,0.367136,0.889976,0.504614,13.1992,10.62,3.0172,147.321,100.71,10.4402,109.508,31.4629,26.0559
0.512091,0.630548,0.020352,0.99728,0.417357,24.3542,1.6818,0.8004,485.911,4.38983,1.37483,34.1759,15.0713,1.17712
0.377575,0.210007,0.356796,0.520974,0.208278,11.3512,12.1496,3.3356,112.629,124.335,13.6221,105.339,31.9773,33.6525
0.287612,0.748707,0.0391348,0.250198,0.0427463,20.9988,3.1364,2.7012,328.982,13.5325,16.6933,53.8563,51.7732,11.0286
0.246335,0.782402,0.0897952,0.687437,0.930608,22.321,1.667,2.8484,401.561,3.85368,11.1981,29.1307,54.579,4.24577
0.524971,0.834835,0.338478,0.802614,0.685653,18.5856,5.2428,3.008,286.456,27.2989,10.5921,76.3463,44.9345,12.8078
0.583952,0.60769,0.286174,0.506124,0.566845,16.8944,6.1668,3.7752,232.816,35.0448,17.837,79.0942,54.3413,19.9775
0.657704,0.440086,0.0441522,0.862217,0.123466,21.5432,4.7036,0.5896,375.41,25.7337,0.985369,81.3417,11.1188,2.7373
0.891673,0.998843,0.596249,0.755771,0.170728,16.5242,9.2698,1.0424,229.867,76.7035,1.9838,120.142,13.9752,7.86773
0.224266,0.667099,0.207025,0.70318,0.947447,19.6764,3.0654,4.0946,311.598,10.9329,19.2631,48.221,66.1076,11.0364
0.350112,0.262368,0.132899,0.364821,0.583219,15.6648,5.3762,5.7954,193.696,29.7506,38.8849,64.0815,73.0432,27.9718
0.671307,0.226275,0.878768,0.633437,0.272009,6.9692,16.3918,3.4754,43.8262,225.82,14.0062,88.3443,19.6072,46.4842
0.960179,0.419421,0.121255,0.399298,0.516474,17.736,6.2182,2.8822,249.26,41.6897,10.306,89.2409,40.1021,16.2914
0.522824,0.00596535,0.695346,0.678013,0.317267,5.229,17.1478,4.4596,27.8889,243.853,20.6113,70.6243,18.9924,60.4688
0.250557,0.659823,0.0102368,0.821002,0.202068,24.2788,1.5928,0.9648,476.543,4.34746,2.05757,32.3838,20.8412,1.56298
0.186989,0.183109,0.92231,0.374021,0.260242,5.7982,13.9882,7.05,33.1825,154.203,53.551,61.3967,35.6924,78.7047
0.74608,0.574919,0.251488,0.0270114,0.0586733,15.4144,9.5284,1.8936,179.566,89.5267,8.04149,110.707,26.0915,20.8968
0.707898,0.404347,0.254682,0.915843,0.357146,17.0158,7.9276,1.893,244.616,58.3412,4.59087,106.216,24.616,11.6558
0.487661,0.43776,0.426165,0.858614,0.130305,14.0648,11.469,1.3026,165.297,115.552,2.92642,125.317,15.9188,13.1385
0.667113,0.77218,0.353006,0.922799,0.666228,18.4326,5.81,2.5938,286.28,31.9631,7.992,83.3923,38.0067,11.7458
0.851049,0.467349,0.001628,0.594357,0.702338,22.4972,2.4378,1.9014,397.269,9.21117,6.08169,47.5804,36.9996,5.40105
0.796444,0.580745,0.840833,0.0898701,0.724153,7.9026,10.3256,8.6082,55.5954,94.8902,67.8703,63.279,53.0785,70.7267
0.15193,0.419585,0.35874,0.609113,0.381368,14.9534,7.3546,4.5284,186.591,47.4119,23.6835,82.9379,56.881,27.5997
0.0769121,0.773376,0.830417,0.0165002,0.705664,4.596,3.878,18.3624,17.3122,13.291,349.949,10.9571,49.3929,45.6361
0.652152,0.959615,0.643259,0.188303,0.733433,12.4698,7.384,6.9826,124.858,50.5246,51.5146,69.3075,69.9092,43.5966
0.955229,0.347194,0.314118,0.701848,0.800178,15.2584,7.6856,3.8924,193.998,56.7621,15.914,93.3339,45.7902,23.8007
0.427282,0.252182,0.527046,0.135844,0.872573,6.847,7.7866,12.2028,41.1942,54.944,136.523,40.0178,63.885,76.0287
0.896074,0.268757,0.545387,0.180792,0.267146,8.1366,14.8056,3.8942,54.3152,193.168,17.3697,90.4088,24.6442,48.7824
0.39359,0.952047,0.547122,0.0782811,0.391241,12.2144,7.1728,7.4492,112.514,46.2714,69.9722,62.16,72.321,47.4025
0.0809779,0.993419,0.670818,0.422288,0.113368,14.2122,8.541,4.0832,163.714,61.2322,26.9949,88.3565,51.8785,30.0564
0.741691,0.601628,0.925572,0.277039,0.837539,8.7334,9.9066,8.1964,67.3978,85.5298,63.5161,66.306,56.5871,65.1472
0.0669031,0.830798,0.410438,0.57877,0.566644,16.417,4.9406,5.4788,221.401,22.0263,34.188,59.5815,75.8297,22.0434
0.909034,0.39027,0.804614,0.482514,0.529969,9.0618,12.8646,4.91,71.8552,144.968,23.8375,91.1112,34.3864,50.4341
0.713321,0.402531,0.989998,0.960255,0.415264,9.295,14.0598,3.4816,76.7585,167.132,13.6476,101.701,26.1638,39.6281
0.70787,0.282479,0.541074,0.0927643,0.123489,8.0236,15.676,3.1368,52.8248,213.769,13.3083,92.975,19.8601,43.4758
0.435537,0.789159,0.235395,0.119321,0.303351,16.0632,5.6668,5.1064,192.704,32.5535,38.4776,67.0191,68.4762,28.8992
0.0917208,0.38606,0.595456,0.188987,0.41508,8.0828,7.2844,11.4692,53.7747,42.0747,144.599,39.5066,73.9321,62.5993
0.047695,0.184209,0.508857,0.678862,0.519536,11.7432,8.4924,6.6008,121.108,63.4566,41.8102,77.4761,61.8355,43.7629
0.201199,0.726495,0.19669,0.101461,0.417492,13.8328,4.0378,8.9658,139.141,16.1316,110.668,37.6274,92.6508,33.0133
0.774055,0.269203,0.0387016,0.710575,0.255822,19.3262,6.146,1.3642,296.001,43.6458,3.2022,95.0732,21.3009,8.46332
0.90259,0.783562,0.397094,0.489945,0.123131,17.0426,8.811,0.9828,238.534,71.5744,1.9765,117.766,14.553,7.90053
0.0843281,0.465111,0.828883,0.509891,0.599126,9.9072,8.2276,8.7016,85.5433,60.2538,70.7723,62.8013,68.4506,56.7255
0.435362,0.659837,0.532114,0.404303,0.439673,13.412,8.4104,5.014,148.453,65.4567,26.6759,87.6216,53.5427,34.8048
0.181694,0.191883,0.268727,0.423267,0.239794,12.495,9.3208,5.0206,132.013,71.8715,33.1436,83.0968,55.4755,39.1758
0.241944,0.523461,0.470845,0.84236,0.543568,15.2302,7.534,4.0722,200.732,50.909,16.8536,89.5664,48.8281,23.6204
0.599572,0.943731,0.513452,0.931086,0.82744,17.158,6.1724,3.506,243.507,36.9805,13.6755,83.4543,47.881,17.8455
0.92683,0.180998,0.464826,0.45931,0.853357,9.9522,10.3726,6.5116,82.9401,95.7873,42.9116,78.4607,51.1445,55.8373
0.465746,0.791931,0.275868,0.842894,0.77269,19.4936,4.372,2.9708,311.629,20.3429,10.06,68.97,45.5137,10.7622
0.0387086,0.226549,0.439955,0.0348829,0.3686,4.8994,5.5432,16.3938,19.1939,25.7965,318.725,16.623,44.0024,53.7788
0.933467,0.796159,0.645463,0.764697,0.861092,14.6384,8.0256,4.1724,182.759,59.0708,17.4182,93.2325,47.338,26.0676
0.580765,0.921158,0.4978,0.439045,0.581573,15.577,6.8532,4.4062,199.158,43.3495,22.034,81.9231,56.6093,25.4589
0.0909838,0.0717988,0.291181,0.113889,0.768676,6.7174,4.3156,15.8034,36.1036,16.4009,254.356,18.4985,73.7614,50.572
0.97921,0.277769,0.195031,0.812709,0.302962,15.8684,9.2612,1.7068,206.026,81.1224,4.30329,115.177,21.6573,13.7021
0.794213,0.500539,0.164222,0.365867,0.569879,17.354,5.9602,3.5222,238.631,36.2731,16.0015,80.8135,50.8087,19.1872
0.587127,0.0222505,0.613852,0.0986769,0.995207,3.045,9.95,13.8414,10.147,86.0955,172.358,21.6796,31.0055,109.277
0.320298,0.907177,0.49172,0.442778,0.359489,15.6052,6.9928,4.2384,196.915,43.1622,23.5303,81.0998,57.5532,25.8055
0.103587,0.0266602,0.275341,0.584473,0.0688702,9.5364,14.611,2.689,99.5586,171.554,12.3684,94.1751,28.3105,32.036
0.796189,0.3587,0.132677,0.573322,0.652197,18.064,5.613,3.1594,262.092,32.3509,12.6973,79.3792,47.2595,16.0531
0.889716,0.0907462,0.928105,0.611325,0.591022,5.6042,15.2352,5.997,30.3496,198.362,33.839,67.2139,26.3067,71.4662
0.870293,0.750349,0.757065,0.530255,0.914771,12.4148,8.7182,5.7034,133.147,68.7589,31.2101,85.0931,55.3765,39.2345
0.869264,0.949761,0.804182,0.899377,0.580073,14.3888,9.3434,3.1042,179.57,76.0035,10.7103,104.737,35.6662,22.7174
0.0236212,0.66408,0.641322,0.497679,0.367507,12.588,7.6826,6.5658,132.916,51.3113,46.9411,71.9382,68.2378,40.5019
0.649424,0.116529,0.557393,0.477544,0.634224,8.2568,11.836,6.7436,61.3635,122.374,42.7804,76.3548,43.5668,63.0814
0.0477046,0.21565,0.427591,0.612597,0.145061,11.4708,11.7086,3.657,124.613,108.613,16.6611,100.423,37.8809,33.0149
0.845285,0.263595,0.330728,0.354246,0.35452,11.5398,11.653,3.6436,110.467,120.055,16.295,101.903,34.3963,36.5544
0.281325,0.628891,0.401317,0.30604,0.647742,13.411,5.827,7.5984,144.839,31.1173,62.5828,57.6136,82.6946,36.6841
0.743537,0.0840761,0.807386,0.936521,0.130981,4.7222,20.4808,1.6334,23.1193,348.59,3.54971,76.974,6.04557,25.613
0.81257,0.628849,0.865732,0.947822,0.964694,12.3294,9.3664,5.1406,128.049,79.0908,27.1907,89.7495,50.4858,38.8619
0.67311,0.324549,0.494329,0.230572,0.720555,9.331,9.6242,7.8812,72.0827,84.1758,60.9417,67.9552,56.7937,62.9131
0.912481,0.670561,0.969074,0.717619,0.639318,11.0354,11.2986,4.5024,106.315,113.093,20.0152,98.4543,38.4685,39.6273
0.261634,0.65691,0.790054,0.606044,0.805381,11.816,7.6678,7.3526,121.553,52.3475,50.9589,69.9589,69.6456,44.228
0.0819304,0.508276,0.622003,0.0988747,0.63469,6.6028,4.859,15.3746,34.4063,20.0115,244.471,20.4771,72.3063,54.0342
0.740763,0.242605,0.270488,0.727505,0.307222,13.9694,10.4904,2.3766,163.752,99.1381,7.145,114.315,26.2594,20.67
0.903109,0.587357,0.845266,0.174534,0.536858,9.1008,11.7278,6.0078,68.6476,122.565,36.7903,81.1237,42.79,58.3468
0.599099,0.346086,0.717975,0.972203,0.508732,11.028,11.9298,3.8786,105.494,125.066,15.8202,103.04,33.5033,36.5284
0.0442965,0.399668,0.0326591,0.224496,0.376379,16.7772,1.8658,8.1934,201.137,4.77074,100.591,19.8653,110.902,12.2454
0.172769,0.906667,0.579892,0.648702,0.208655,15.6332,8.325,2.8782,201.957,60.2942,11.7885,98.4683,39.8083,20.9654
0.640358,0.483721,0.485851,0.748507,0.0409613,13.401,12.883,0.5524,153.408,142.69,0.893833,134.579,6.74424,6.44232
0.959961,0.75679,0.420337,0.199903,0.248618,15.4738,9.0206,2.342,195.983,75.2216,7.41012,108.503,30.0366,18.4154
0.918066,0.0859206,0.482625,0.494963,0.916562,8.9294,10.8042,7.1028,68.9482,100.662,50.7692,73.0418,50.7398,62.291
0.27506,0.565277,0.00925152,0.470354,0.845566,21.9024,1.2558,3.6782,374.549,2.96056,19.4393,22.9204,69.7275,5.13954
0.638005,0.399663,0.262723,0.111673,0.165818,12.8848,10.5256,3.426,127.029,105.471,16.5718,101.649,35.568,34.509
0.621805,0.717225,0.480918,0.381036,0.696653,14.1106,7.2488,5.477,166.321,48.8367,30.5588,79.653,61.6536,32.0973
0.516629,0.54233,0.875625,0.18254,0.504371,8.1062,10.672,8.0582,55.9937,99.0238,64.8598,64.6908,51.3523,70.2803
0.377459,0.622397,0.973487,0.762356,0.698363,10.9786,9.7622,6.0956,106.345,83.9832,35.0923,84.2568,52.6652,46.6297
0.82439,0.115579,0.115333,0.925791,0.562105,17.156,7.1498,2.5306,238.664,53.5305,7.79262,97.7874,32.7758,15.7053
0.377856,0.931589,0.704351,0.776747,0.694885,14.7666,7.4362,4.6336,183.584,50.5764,22.2026,86.2255,54.1881,27.6672
0.0639678,0.480116,0.480523,0.403562,0.94694,12.1394,4.4696,10.2274,120.912,18.59,103.439,39.158,99.8711,35.7628
0.647678,0.209089,0.242271,0.425427,0.0149374,11.7368,14.4294,0.6702,114.072,181.623,1.64976,127.524,8.81536,11.2501
0.907236,0.318657,0.750436,0.187045,0.891362,6.7774,11.0254,9.0336,42.92,104.981,74.2273,58.3489,48.4638,78.3852
0.400851,0.588203,0.00392566,0.95152,0.832638,24.8366,0.8212,1.1786,502.21,1.55554,2.55761,17.5833,24.5197,0.997533
0.454967,0.0861948,0.709818,0.929538,0.681925,9.206,11.8278,5.8026,75.9199,123.063,31.5303,86.1953,41.5684,53.2419
0.414574,0.225073,0.243575,0.33434,0.704511,12.802,6.7582,7.2762,128.715,46.5226,53.7319,67.2226,71.625,42.9296
0.622615,0.447209,0.279846,0.842985,0.56533,17.2136,6.7876,2.8352,251.745,42.7438,8.819,92.1896,37.5955,14.823
0.988587,0.345335,0.0390821,0.134633,0.696825,15.9152,6.1986,4.7226,183.832,48.0008,29.8684,75.3429,57.6326,32.4362
0.17813,0.796579,0.245832,0.111738,0.749508,12.489,3.3074,11.04,112.903,11.5772,145.402,28.0963,101.508,31.717
0.476033,0.0468374,0.408983,0.940122,0.168902,8.361,16.4242,2.0512,69.0509,222.565,5.6141,106.301,14.2022,27.1445
0.881616,0.213179,0.564656,0.460117,0.160861,8.0674,16.6226,2.1464,57.4672,233.484,6.25182,103.507,14.1598,29.9935
0.825728,0.466374,0.387321,0.178918,0.922189,11.389,7.8174,7.63,103.511,58.7346,58.3604,67.8398,67.2804,50.839
0.672185,0.828999,0.347132,0.115463,0.590281,14.6056,6.4864,5.7444,166.084,42.5955,37.5806,72.6192,66.6949,33.8181
0.546271,0.182442,0.741001,0.890369,0.359154,8.3542,14.7828,3.6994,65.8755,181.126,14.9916,97.0469,25.4166,42.8019
0.508768,0.211571,0.304216,0.660518,0.881671,14.6486,6.734,5.4538,181.629,42.8362,29.0741,77.6331,62.5016,29.3578
0.982339,0.669916,0.608327,0.841053,0.58251,14.3568,9.4238,3.0558,177.326,78.7852,10.3476,106.25,34.3682,22.4148
0.367216,0.723511,0.524184,0.361425,0.514038,13.3838,7.4176,6.035,146.597,49.9276,39.5029,75.0505,65.6907,37.5073
0.947384,0.471647,0.59989,0.582309,0.587128,12.0146,10.6486,4.1732,124.856,100.816,17.4775,101.071,38.7376,34.8792
0.993841,0.0229703,0.0904628,0.344794,0.0738714,8.5802,17.143,1.1132,61.8563,301.813,2.47328,87.5193,6.29778,19.3735
0.791393,0.76716,0.337324,0.341512,0.520919,16.5754,6.705,3.556,221.425,43.9728,15.442,86.6281,48.1861,21.0278
0.113265,0.666847,0.670781,0.616393,0.195477,13.1284,10.1106,3.5974,144.128,87.2742,16.8079,100.377,40.65,31.1306
0.813809,0.945887,0.834114,0.674004,0.547589,13.7254,9.5378,3.5732,159.052,81.9398,14.0499,102.307,38.96,27.4746
0.402267,0.776954,0.129088,0.0084038,0.577674,14.265,4.1384,8.433,144.659,20.7238,95.5646,41.6188,86.3409,37.8284
0.770094,0.532864,0.0840837,0.96747,0.44261,22.0136,3.618,1.2048,395.883,15.0331,2.46455,64.7972,20.9724,3.80199
0.976257,0.428429,0.398696,0.152629,0.305943,11.8804,11.5046,3.4514,114.449,120.717,14.1833,105.35,32.198,34.0394
0.810092,0.515058,0.999382,0.464575,0.127377,9.0996,15.9432,1.7936,74.9487,212.772,4.41308,113.797,13.325,23.0735
0.772439,0.424328,0.48823,0.317259,0.265709,11.5684,12.0294,3.2386,110.55,126.567,13.2811,106.522,30.9006,33.6409
0.110572,0.282707,0.760714,0.360809,0.737813,8.0106,7.24,11.5858,55.6584,45.1534,127.206,42.5586,74.2324,65.4619
0.575593,0.12012,0.240292,0.241912,0.922514,10.227,7.5662,9.0432,80.2315,57.4883,83.234,56.9721,68.2818,60.5312
0.687231,0.589282,0.492819,0.620914,0.71003,14.405,7.9118,4.5196,175.049,58.7242,20.6053,90.4046,50.2256,28.4425
0.550481,0.957485,0.0438997,0.156567,0.960149,19.4492,2.179,5.2082,279.55,7.12878,40.9358,32.9658,86.2387,13.2502
0.255938,0.231196,0.595381,0.397509,0.898699,9.3462,7.2286,10.2616,76.5261,46.6541,96.8913,51.6664,76.4411,58.1188
0.545627,0.629053,0.0437375,0.960481,0.445801,23.6268,2.2002,1.0094,456.822,6.36939,1.97171,41.8365,19.8435,2.00052
0.358735,0.0248061,0.281087,0.225345,0.19639,6.6302,14.496,5.7102,38.4599,179.628,40.5207,64.8922,29.6428,72.4228
0.38864,0.177925,0.431307,0.481496,0.11935,9.279,14.8764,2.681,80.4484,177.045,10.2157,105.498,22.9472,33.962
0.634684,0.397077,0.702528,0.149062,0.164685,8.5172,14.547,3.7722,61.0851,176.173,19.2322,91.9941,27.3959,48.6269
0.284746,0.625804,0.476898,0.764087,0.752257,15.563,6.3786,4.8948,205.169,37.2503,25.0319,76.2633,61.5649,24.708
0.157105,0.529913,0.460726,0.115156,0.446392,9.3674,6.159,11.31,65.3519,31.1495,153.885,37.2838,78.9669,54.8181
0.875983,0.337992,0.742068,0.0243176,0.680482,5.7158,11.9572,9.1634,28.4163,127.803,78.0659,50.736,39.0148,89.3689
0.436746,0.921621,0.568427,0.0294337,0.378763,11.6096,7.5716,7.6552,102.315,51.2271,72.462,62.3702,69.8244,51.0653
0.581082,0.521576,0.0187014,0.621173,0.229583,22.3976,3.282,1.1568,395.638,14.5446,2.77837,61.8512,23.6246,4.30564
0.209971,0.952587,0.542759,0.619776,0.79622,15.5672,5.4672,5.802,201.307,28.0785,34.987,65.0122,73.5934,25.47
0.166871,0.703351,0.0357282,0.770057,0.971609,23.7662,0.8536,2.2166,456.061,1.42725,7.36916,15.7523,46.3359,1.74506
0.00844828,0.653015,0.967195,0.776006,0.799341,11.3928,7.551,7.8926,114.125,52.6975,56.0851,68.038,70.3126,46.4575
0.229103,0.187821,0.596193,0.656048,0.461002,10.0232,10.9124,5.9008,88.922,102.678,34.3318,84.9106,47.3082,51.0773
0.745232,0.575794,0.185397,0.548723,0.374951,18.7174,6.0182,2.1008,288.241,35.5738,5.93263,88.7939,31.8507,10.7437
0.0866695,0.930935,0.943819,0.207443,0.611249,8.4586,5.8564,12.5214,58.1951,29.8165,158.588,34.5576,81.7094,56.6954
0.564614,0.972007,0.42904,0.0538563,0.674956,13.0098,6.1114,7.7152,133.216,34.7935,66.3374,58.0597,80.4157,40.6134
0.464555,0.82258,0.0464952,0.56558,0.659297,22.8614,1.7916,2.1834,416.592,4.6395,7.77092,33.1826,44.5297,4.04843
0.714989,0.508256,0.501313,0.107881,0.311861,11.0084,11.0392,4.7888,97.7699,109.976,25.8166,92.1961,41.8309,45.4536
0.135771,0.386076,0.913635,0.360158,0.638896,7.6554,8.2508,10.9302,54.0579,59.7907,107.496,48.7024,67.2004,69.6868
0.553138,0.828229,0.148747,0.937778,0.611018,22.174,3.0954,1.567,406.913,10.4856,3.65584,53.6179,28.2162,3.90069
0.266206,0.866755,0.615283,0.679507,0.401399,15.0102,7.9704,3.8558,193.037,54.9061,16.8868,91.1251,48.0905,24.6317
0.620912,0.875207,0.950333,0.570379,0.72283,11.857,9.2244,5.755,120.395,76.5466,32.0902,85.4018,54.1234,42.221
0.498011,0.573789,0.463124,0.919615,0.146379,15.1668,10.462,1.2076,197.993,94.9023,2.30416,124.574,14.2928,9.79585
0.0796067,0.439347,0.052399,0.072357,0.632207,12.1624,1.7968,12.8772,101.484,4.49521,226.483,13.2879,94.536,22.2073
0.542496,0.562242,0.651819,0.157948,0.986144,8.761,7.3594,10.716,64.1523,49.4653,107.925,48.2623,73.0177,64.2109
0.954873,0.434706,0.0849091,0.567691,0.0529783,19.3702,7.0794,0.3868,303.325,51.9183,0.530092,109.604,6.18284,2.58921
0.708418,0.5607,0.211335,0.910588,0.279479,19.129,6.4196,1.2878,296.625,41.459,2.79793,98.3936,20.1243,7.3033
0.0369792,0.306558,0.106891,0.137023,0.183845,12.797,4.3646,9.6748,113.5,18.9519,155.537,34.1919,88.894,29.1816
0.155415,0.531301,0.545961,0.698362,0.661943,13.9246,7.0304,5.8814,163.331,45.3581,35.0051,75.5114,65.6924,33.211
