k1,k2,k3,k4,k5,o1,o2,o3,o4,o5,o6,o7,o8,o9
0.2,0.2,0.2,0.2,0.2,7.812,8.324,8.822,38.9145,73.9309,90.852,27.4959,25.4094,36.3504
0.2,0.2,0.2,0.2,0.4,7.898,7.116,9.944,43.8152,49.4374,105.524,23.0018,29.2708,39.4434
0.2,0.2,0.2,0.2,0.6,7.81,6.278,10.87,37.8777,38.8905,119.468,21.0349,32.7708,39.1805
0.2,0.2,0.2,0.2,0.8,7.754,5.338,11.866,38.7189,30.621,133.411,17.9511,32.0511,39.7267
0.2,0.2,0.2,0.2,1.0,7.752,4.764,12.442,40.1348,24.8219,135.245,15.751,37.5347,37.7177
0.2,0.2,0.2,0.4,0.2,9.344,8.274,7.34,56.186,69.7624,65.9202,32.8595,33.9509,28.3596
0.2,0.2,0.2,0.4,0.4,9.51,7.218,8.23,58.7394,52.1748,73.1795,28.3114,40.0628,30.6832
0.2,0.2,0.2,0.4,0.6,9.544,6.048,9.366,52.0001,39.4005,91.7435,23.7995,39.8726,35.8602
0.2,0.2,0.2,0.4,0.8,9.616,5.212,10.13,53.2911,28.1393,95.0472,22.7429,46.1542,33.9684
0.2,0.2,0.2,0.4,1.0,9.556,4.876,10.526,55.9708,23.7682,100.45,20.9448,45.248,34.8169
0.2,0.2,0.2,0.6,0.2,10.516,8.206,6.236,66.5989,73.4946,45.0905,37.0979,36.5533,24.8611
0.2,0.2,0.2,0.6,0.4,10.708,7.07,7.18,69.2653,51.1594,54.7892,32.0946,42.708,28.6948
0.2,0.2,0.2,0.6,0.6,10.932,6.162,7.864,71.0094,39.4947,59.9975,31.009,45.2452,29.5992
0.2,0.2,0.2,0.6,0.8,11.048,5.388,8.522,72.8193,28.9313,66.0897,27.827,48.9468,30.4103
0.2,0.2,0.2,0.6,1.0,11.064,4.768,9.126,78.4769,22.2266,75.0081,23.7463,53.046,26.4561
0.2,0.2,0.2,0.8,0.2,11.524,8.184,5.25,78.9674,69.8458,32.3201,41.1619,36.007,23.3687
0.2,0.2,0.2,0.8,0.4,11.72,7.142,6.096,82.0056,52.7193,40.628,38.2563,39.6121,25.5595
0.2,0.2,0.2,0.8,0.6,11.948,6.144,6.866,90.2378,39.3419,43.1383,34.9213,45.6143,24.2097
0.2,0.2,0.2,0.8,0.8,12.25,5.446,7.262,88.1077,32.5722,45.8891,33.5115,47.5977,26.7106
0.2,0.2,0.2,0.8,1.0,12.276,4.776,7.906,84.0279,23.1481,62.422,26.9617,52.5611,26.7825
0.2,0.2,0.2,1.0,0.2,12.282,8.308,4.368,98.0706,69.5923,25.0667,42.8809,35.0303,16.8283
0.2,0.2,0.2,1.0,0.4,12.668,6.978,5.312,101.477,52.5025,27.0207,40.0648,38.3523,22.1872
0.2,0.2,0.2,1.0,0.6,13.136,6.254,5.568,106.022,38.7069,31.6647,37.3021,43.8164,21.7893
0.2,0.2,0.2,1.0,0.8,13.002,5.43,6.526,97.8978,30.7787,42.322,32.4019,48.2575,24.9457
0.2,0.2,0.2,1.0,1.0,13.398,4.686,6.874,107.783,21.2659,41.8458,31.5441,52.0603,22.0525
0.2,0.2,0.4,0.2,0.2,6.792,9.298,8.868,31.4236,80.8309,92.5717,27.7655,24.9805,35.9452
0.2,0.2,0.4,0.2,0.4,6.656,7.972,10.33,31.0237,56.7367,110.658,23.9002,28.6929,39.3018
0.2,0.2,0.4,0.2,0.6,6.752,6.964,11.242,30.3071,46.9606,113.358,20.5201,31.0902,44.1811
0.2,0.2,0.4,0.2,0.8,6.704,6.028,12.226,28.4092,32.2517,140.287,17.7458,31.7965,41.0878
0.2,0.2,0.4,0.2,1.0,6.836,5.336,12.786,32.2015,23.967,146.641,15.43,35.1833,39.0861
0.2,0.2,0.4,0.4,0.2,8.044,9.304,7.61,40.0742,79.6669,64.9438,33.8483,31.905,33.0086
0.2,0.2,0.4,0.4,0.4,8.274,7.968,8.716,44.9649,58.2635,78.6286,27.0268,36.7694,36.3797
0.2,0.2,0.4,0.4,0.6,8.322,7.196,9.44,45.7298,41.9254,85.2729,27.552,38.836,38.2523
0.2,0.2,0.4,0.4,0.8,8.398,6.252,10.308,44.0517,33.1468,97.929,23.7652,42.1437,37.6316
0.2,0.2,0.4,0.4,1.0,8.604,5.434,10.92,43.9391,27.673,103.38,22.2524,44.7859,36.5699
0.2,0.2,0.4,0.6,0.2,9.362,9.414,6.182,52.2434,83.5617,47.3235,37.8699,33.1284,28.5417
0.2,0.2,0.4,0.6,0.4,9.414,8.156,7.388,60.3192,58.0157,54.0135,33.8952,38.4102,32.6247
0.2,0.2,0.4,0.6,0.6,9.682,7.198,8.078,57.1231,43.9226,61.066,32.6543,41.9908,35.4034
0.2,0.2,0.4,0.6,0.8,9.844,6.478,8.636,60.9255,36.739,64.8252,31.8944,45.913,32.0521
0.2,0.2,0.4,0.6,1.0,9.842,5.722,9.394,60.3738,27.0548,76.8765,27.7856,49.9041,31.2621
0.2,0.2,0.4,0.8,0.2,10.012,9.566,5.38,63.2584,78.5708,37.1018,39.4501,34.6127,27.5761
0.2,0.2,0.4,0.8,0.4,10.18,8.448,6.33,65.8633,61.9993,40.2937,38.7248,38.7641,29.5372
0.2,0.2,0.4,0.8,0.6,10.712,7.242,7.004,72.7145,44.2439,45.014,38.2001,41.2577,30.6604
0.2,0.2,0.4,0.8,0.8,10.784,6.512,7.662,72.0254,35.8095,53.7833,32.8443,46.7144,30.7365
0.2,0.2,0.4,0.8,1.0,11.032,5.676,8.25,75.4058,27.0131,58.2961,31.4052,52.3888,26.9529
0.2,0.2,0.4,1.0,0.2,10.774,9.802,4.382,70.2554,84.6481,25.8357,45.4562,31.6015,23.677
0.2,0.2,0.4,1.0,0.4,11.196,8.398,5.364,78.8473,59.7671,29.3262,44.9539,36.9165,25.2637
0.2,0.2,0.4,1.0,0.6,11.466,7.476,6.016,83.1632,46.4503,35.0739,40.0603,40.6458,28.0545
0.2,0.2,0.4,1.0,0.8,11.57,6.748,6.64,79.2356,39.5716,40.7599,39.0618,44.0393,28.2197
0.2,0.2,0.4,1.0,1.0,12.054,5.82,7.084,86.6764,31.2862,43.5561,34.8955,49.0896,26.3598
0.2,0.2,0.6,0.2,0.2,5.728,10.132,9.098,21.8577,86.9805,100.441,25.4528,19.9085,41.1033
0.2,0.2,0.6,0.2,0.4,6.072,8.572,10.314,24.568,61.8485,109.707,22.7663,26.2178,44.0585
0.2,0.2,0.6,0.2,0.6,5.976,7.598,11.384,24.2479,46.4814,126.329,20.1046,29.374,43.0966
0.2,0.2,0.6,0.2,0.8,5.922,6.71,12.326,24.1202,36.054,139.194,17.2599,30.0575,44.1027
0.2,0.2,0.6,0.2,1.0,5.876,6.024,13.058,24.2892,30.2319,144.604,16.2114,30.2798,45.0507
0.2,0.2,0.6,0.4,0.2,7.246,10.176,7.536,30.4985,89.7485,68.5458,31.4236,28.1765,37.1079
0.2,0.2,0.6,0.4,0.4,7.312,8.926,8.72,33.7341,66.2651,73.9695,31.6023,32.5865,39.9311
0.2,0.2,0.6,0.4,0.6,7.358,8.014,9.586,35.8535,50.1782,82.72,27.7866,36.4591,42.4828
0.2,0.2,0.6,0.4,0.8,7.576,6.984,10.398,36.866,40.1841,90.2601,25.4842,40.2973,41.6677
0.2,0.2,0.6,0.4,1.0,7.482,6.362,11.114,34.0498,30.2635,111.68,21.5025,41.0131,40.5919
0.2,0.2,0.6,0.6,0.2,8.18,10.458,6.32,41.4705,88.2968,51.3844,36.5827,31.0485,32.8972
0.2,0.2,0.6,0.6,0.4,8.522,9.108,7.328,43.2881,68.8059,52.786,36.683,35.2533,36.728
0.2,0.2,0.6,0.6,0.6,8.336,8.234,8.388,41.6264,54.1716,64.787,32.7849,38.2902,39.7367
0.2,0.2,0.6,0.6,0.8,8.644,7.222,9.092,44.1776,44.161,68.3723,31.7165,41.9206,39.1118
0.2,0.2,0.6,0.6,1.0,8.71,6.574,9.674,48.4428,36.6057,71.126,29.1367,46.9353,36.945
0.2,0.2,0.6,0.8,0.2,8.976,10.682,5.3,53.4383,91.5921,30.3828,45.3631,28.7948,29.2399
0.2,0.2,0.6,0.8,0.4,8.998,9.56,6.4,52.4108,68.287,42.8778,40.434,33.8425,35.0401
0.2,0.2,0.6,0.8,0.6,9.48,8.264,7.214,54.6108,53.4973,48.0162,37.4522,40.5584,35.0316
