k1,k2,k3,k4,k5,o1,o2,o3,o4,o5,o6,o7,o8,o9
0.2,0.2,0.2,0.2,0.2,11.736,8.384,4.838,89.862,48.5737,18.7653,55.32,33.3219,23.8619
0.2,0.2,0.2,0.2,0.4,11.962,6.128,6.868,92.4054,27.8433,34.0266,42.7684,46.6763,24.5219
0.2,0.2,0.2,0.2,0.6,11.65,5.198,8.11,84.0917,20.3154,50.4388,33.2718,55.5356,24.874
0.2,0.2,0.2,0.2,0.8,11.826,4.13,9.002,89.1941,11.8608,61.3447,25.3453,64.0124,20.5468
0.2,0.2,0.2,0.2,1.0,11.82,3.578,9.56,88.2361,10.4448,67.1768,22.6233,65.9768,19.5755
0.2,0.2,0.2,0.4,0.2,13.47,8.416,3.072,115.981,45.9669,9.73028,63.7059,25.7116,15.8477
0.2,0.2,0.2,0.4,0.4,14.214,6.16,4.584,133.607,28.4313,15.3376,51.2923,35.5942,15.5296
0.2,0.2,0.2,0.4,0.6,14.734,4.968,5.256,129.971,18.8847,24.7159,40.25,47.0001,17.0683
0.2,0.2,0.2,0.4,0.8,14.962,4.158,5.838,145.123,14.6984,23.4507,38.008,47.7634,13.697
0.2,0.2,0.2,0.4,1.0,15.208,3.632,6.118,144.261,11.6198,28.1283,32.6418,53.3782,13.0796
0.2,0.2,0.2,0.6,0.2,14.49,8.294,2.174,137.561,46.5166,4.59291,68.3126,18.2272,10.2293
0.2,0.2,0.2,0.6,0.4,15.33,6.412,3.216,161.821,27.7538,8.81497,53.3327,28.3374,10.2395
0.2,0.2,0.2,0.6,0.6,16.288,4.81,3.86,161.103,19.3887,13.2629,46.638,35.9883,11.6006
0.2,0.2,0.2,0.6,0.8,16.682,4.096,4.18,182.249,11.9667,13.8713,37.4494,40.2758,9.33539
0.2,0.2,0.2,0.6,1.0,16.84,3.576,4.542,184.463,10.9742,15.5634,33.9461,42.7362,8.92165
0.2,0.2,0.2,0.8,0.2,14.984,8.276,1.698,136.853,51.8796,3.39759,71.4974,14.416,9.1256
0.2,0.2,0.2,0.8,0.4,16.088,6.29,2.58,161.848,30.2344,6.2481,59.742,23.1473,9.0499
0.2,0.2,0.2,0.8,0.6,17.014,4.796,3.148,176.487,19.1407,8.95601,48.6562,30.7635,9.39298
0.2,0.2,0.2,0.8,0.8,17.216,4.2,3.542,179.36,16.1443,10.5173,44.8064,34.2554,9.03166
0.2,0.2,0.2,0.8,1.0,17.842,3.424,3.692,199.039,9.53529,12.3619,33.8647,39.308,7.46352
0.2,0.2,0.2,1.0,0.2,15.224,8.426,1.308,155.116,45.1348,2.29372,72.0627,11.8547,5.91462
0.2,0.2,0.2,1.0,0.4,16.506,6.426,2.026,179.1,29.1909,3.95724,61.0125,17.2934,6.67427
0.2,0.2,0.2,1.0,0.6,17.422,5.008,2.528,200.489,16.6172,6.34992,47.4375,25.6946,6.24426
0.2,0.2,0.2,1.0,0.8,18.08,4.028,2.85,201.809,12.5243,8.49649,40.108,32.6273,6.95411
0.2,0.2,0.2,1.0,1.0,18.406,3.51,3.042,216.895,10.6191,7.43511,37.6883,30.1112,5.83024
0.2,0.2,0.4,0.2,0.2,8.244,10.934,5.78,42.9383,83.5968,27.5307,46.9781,27.2682,39.8251
0.2,0.2,0.4,0.2,0.4,8.28,8.232,8.446,43.5527,48.6435,51.5662,38.9069,39.428,40.8883
0.2,0.2,0.4,0.2,0.6,8.128,6.534,10.296,49.7631,29.9006,70.5014,29.7932,49.7757,36.4528
0.2,0.2,0.4,0.2,0.8,8.306,5.532,11.12,46.5735,22.7465,87.3884,25.3299,53.5784,33.8418
0.2,0.2,0.4,0.2,1.0,8.298,4.846,11.814,46.9631,16.6676,94.797,22.8476,56.6728,32.3701
0.2,0.2,0.4,0.4,0.2,9.592,11.448,3.918,62.0536,88.1797,11.6987,63.612,21.211,25.3154
0.2,0.2,0.4,0.4,0.4,10.132,8.806,6.02,70.9645,50.5254,26.6088,50.679,36.4122,29.9638
