k1,k2,k3,k4,k5,k6,o1,o2,o3,o4,o5,o6
0.2,0.2,0.2,0.2,0.2,0.2,0.0054,32.8706,3.8642,0.9382,1.2134,2.8996
0.2,0.2,0.2,0.2,0.2,0.4,0.0048,34.666,3.8648,0.2306,2.3018,1.8112
0.2,0.2,0.2,0.2,0.2,0.6,0.0068,35.3532,3.8628,0.082,2.8384,1.2746
0.2,0.2,0.2,0.2,0.2,0.8,0.0036,35.7074,3.866,0.0532,3.167,0.946
0.2,0.2,0.2,0.2,0.2,1,0.0052,35.8998,3.8644,0.039,3.3436,0.7694
0.2,0.2,0.2,0.2,0.4,0.2,0.0038,32.8432,3.8658,1.0194,1.2688,2.8442
0.2,0.2,0.2,0.2,0.4,0.4,0.0048,34.5728,3.8648,0.2562,2.2342,1.8788
0.2,0.2,0.2,0.2,0.4,0.6,0.0042,35.3432,3.8654,0.1004,2.8494,1.2636
0.2,0.2,0.2,0.2,0.4,0.8,0.0062,35.6446,3.8634,0.0686,3.117,0.996
0.2,0.2,0.2,0.2,0.4,1,0.0036,35.8544,3.866,0.0476,3.3084,0.8046
0.2,0.2,0.2,0.2,0.6,0.2,0.0046,32.8078,3.865,1.059,1.2722,2.8408
0.2,0.2,0.2,0.2,0.6,0.4,0.0058,34.6156,3.8638,0.2624,2.2822,1.8308
0.2,0.2,0.2,0.2,0.6,0.6,0.0056,35.3294,3.864,0.1098,2.8436,1.2694
0.2,0.2,0.2,0.2,0.6,0.8,0.0048,35.6584,3.8648,0.0712,3.1348,0.9782
0.2,0.2,0.2,0.2,0.6,1,0.0052,35.8844,3.8644,0.0508,3.34,0.773
0.2,0.2,0.2,0.2,0.8,0.2,0.004,32.786,3.8656,1.0822,1.2742,2.8388
0.2,0.2,0.2,0.2,0.8,0.4,0.0052,34.5836,3.8644,0.2924,2.2808,1.8322
0.2,0.2,0.2,0.2,0.8,0.6,0.0038,35.2848,3.8658,0.1302,2.8212,1.2918
0.2,0.2,0.2,0.2,0.8,0.8,0.0062,35.6804,3.8634,0.0858,3.17,0.943
0.2,0.2,0.2,0.2,0.8,1,0.0054,35.896,3.8642,0.0596,3.3602,0.7528
0.2,0.2,0.2,0.2,1,0.2,0.0058,32.7622,3.8638,1.1326,1.299,2.814
0.2,0.2,0.2,0.2,1,0.4,0.0054,34.5912,3.8642,0.3072,2.303,1.81
0.2,0.2,0.2,0.2,1,0.6,0.0034,35.297,3.8662,0.1464,2.85,1.263
0.2,0.2,0.2,0.2,1,0.8,0.0062,35.6582,3.8634,0.0896,3.1516,0.9614
0.2,0.2,0.2,0.2,1,1,0.0052,35.8896,3.8644,0.0558,3.3502,0.7628
0.2,0.2,0.2,0.4,0.2,0.2,0.0056,32.9258,3.864,0.882,1.2122,2.9008
0.2,0.2,0.2,0.4,0.2,0.4,0.0044,34.6518,3.8652,0.1618,2.2192,1.8938
0.2,0.2,0.2,0.4,0.2,0.6,0.0048,35.3742,3.8648,0.056,2.8354,1.2776
0.2,0.2,0.2,0.4,0.2,0.8,0.0058,35.725,3.8638,0.024,3.1532,0.9598
0.2,0.2,0.2,0.4,0.2,1,0.0074,35.9054,3.8622,0.0214,3.3294,0.7836
0.2,0.2,0.2,0.4,0.4,0.2,0.0064,32.9382,3.8632,0.9086,1.2504,2.8626
0.2,0.2,0.2,0.4,0.4,0.4,0.0034,34.6668,3.8662,0.1962,2.2696,1.8434
0.2,0.2,0.2,0.4,0.4,0.6,0.0052,35.3554,3.8644,0.0628,2.823,1.29
0.2,0.2,0.2,0.4,0.4,0.8,0.0028,35.7048,3.8668,0.0386,3.1506,0.9624
0.2,0.2,0.2,0.4,0.4,1,0.0044,35.9004,3.8652,0.0212,3.3272,0.7858
0.2,0.2,0.2,0.4,0.6,0.2,0.0054,32.9126,3.8642,0.936,1.2532,2.8598
0.2,0.2,0.2,0.4,0.6,0.4,0.0036,34.6848,3.866,0.1884,2.2796,1.8334
0.2,0.2,0.2,0.4,0.6,0.6,0.0036,35.3226,3.866,0.077,2.806,1.307
0.2,0.2,0.2,0.4,0.6,0.8,0.0036,35.7034,3.866,0.0412,3.151,0.962
0.2,0.2,0.2,0.4,0.6,1,0.0052,35.9002,3.8644,0.0246,3.3296,0.7834
0.2,0.2,0.2,0.4,0.8,0.2,0.003,32.9664,3.8666,0.9288,1.3022,2.8108
0.2,0.2,0.2,0.4,0.8,0.4,0.005,34.6298,3.8646,0.2326,2.2674,1.8456
0.2,0.2,0.2,0.4,0.8,0.6,0.004,35.3076,3.8656,0.0926,2.8062,1.3068
0.2,0.2,0.2,0.4,0.8,0.8,0.0044,35.6984,3.8652,0.0492,3.1532,0.9598
0.2,0.2,0.2,0.4,0.8,1,0.0036,35.8878,3.866,0.0316,3.3258,0.7872
0.2,0.2,0.2,0.4,1,0.2,0.0062,32.8836,3.8634,0.9808,1.2682,2.8448
0.2,0.2,0.2,0.4,1,0.4,0.0058,34.5924,3.8638,0.2278,2.2244,1.8886
0.2,0.2,0.2,0.4,1,0.6,0.0038,35.3566,3.8658,0.0968,2.8596,1.2534
