k1,k2,k3,k4,k5,k6,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27
0.2,0.2,0.2,0.2,0.2,0.2,-0.043102,185.623,21.191,0.270856,20.4584,0.924935,0.0384704,335560,4668.5,0.974192,4578.34,8.51002,-72.5098,-8.1794,-0.120158,-6.62708,-0.353297,35118,475.553,34051,1506.75,51.3438,3974.34,180.895,43.0616,1.94592,174.863
0.2,0.2,0.2,0.2,0.2,0.4,-0.038702,185.622,21.1866,0.275056,20.4572,0.926135,0.0896682,335550,4665.68,0.982836,4578.12,8.69347,-66.579,-6.79239,-0.1251,-5.55976,-0.30567,35112,479.445,34043.4,1513.81,51.547,3971.99,182.132,44.5422,1.97305,174.884
0.2,0.2,0.2,0.2,0.2,0.6,-0.042102,185.629,21.19,0.268656,20.4606,0.922735,0.0634698,335590,4668.43,0.928768,4580.03,8.56077,-71.0712,-8.15576,-0.119121,-5.51473,-0.348122,35117.2,466.197,34056.9,1502.62,50.6844,3973.14,180.987,43.3023,1.93507,173.993
0.2,0.2,0.2,0.2,0.2,0.8,-0.041502,185.64,21.1894,0.280256,20.4828,0.900535,0.0433323,335613,4667.75,1.02447,4585.57,8.00294,-70.5724,-7.8044,-0.125665,-6.5517,-0.321773,35120.6,486.51,34088.9,1471.27,52.6184,3979.68,175.45,44.687,1.94826,171.499
0.2,0.2,0.2,0.2,0.2,1,-0.041702,185.64,21.1896,0.262256,20.465,0.918335,0.0386568,335603,4667.98,0.896187,4579.29,8.22599,-70.6639,-7.91763,-0.119049,-6.79999,-0.335549,35120.8,457.461,34054.1,1505.56,50.1534,3977.71,177.68,41.7338,1.88225,174.532
0.2,0.2,0.2,0.2,0.4,0.2,-0.043502,185.612,21.1914,0.281856,20.4588,0.924535,0.0345355,335532,4668.98,1.02528,4581.05,8.87781,-73.281,-8.41392,-0.126199,-7.28935,-0.360829,35116.1,490.211,34050.7,1504.96,53.3403,3974.57,181.335,45.6457,2.01726,173.322
0.2,0.2,0.2,0.2,0.4,0.4,-0.038902,185.625,21.1868,0.264456,20.4498,0.933535,0.0585565,335578,4666.75,0.96498,4577.07,8.83516,-65.9152,-7.31311,-0.121874,-6.7369,-0.309452,35111.2,457.058,34035.6,1522.8,50.8356,3972.91,182.399,41.6278,1.92033,175.336
0.2,0.2,0.2,0.2,0.4,0.6,-0.040702,185.632,21.1886,0.274256,20.4686,0.914735,0.0597232,335604,4666.99,0.991525,4581.8,8.54301,-69.9711,-7.43155,-0.120075,-6.13833,-0.319296,35117.5,477.216,34073,1485.64,52.1286,3975.93,178.785,44.4647,1.91416,173.119
0.2,0.2,0.2,0.2,0.4,0.8,-0.040502,185.638,21.1884,0.282656,20.4826,0.900735,0.0742105,335607,4667.44,1.01407,4588.68,8.22034,-70.4504,-7.66671,-0.126443,-6.36639,-0.316534,35118.8,490.677,34089.9,1470.13,53.8944,3979,175.941,46.388,1.97799,169.838
0.2,0.2,0.2,0.2,0.4,1,-0.043902,185.644,21.1918,0.276056,20.4852,0.898135,0.043442,335619,4668.9,0.976926,4589.64,7.92423,-74.8073,-8.38164,-0.122569,-7.53473,-0.356537,35125,480.212,34090.3,1470.36,52.7658,3981.58,174.566,45.1553,1.95775,169.507
