CMDLINE /export/apps/opt/qiskit/0.34.2/envs/qiskit/bin/python3.10 spatial.py
MEM 4.535156 1684769777.9314
MEM 16.660156 1684769778.0317
MEM 21.761719 1684769778.1320
MEM 30.210938 1684769778.2323
MEM 34.597656 1684769778.3325
MEM 38.207031 1684769778.4328
MEM 39.750000 1684769778.5331
MEM 56.164062 1684769778.6334
MEM 60.382812 1684769778.7337
MEM 62.285156 1684769778.8339
MEM 64.625000 1684769778.9341
MEM 65.878906 1684769779.0344
MEM 67.867188 1684769779.1347
MEM 71.710938 1684769779.2350
MEM 73.738281 1684769779.3353
MEM 74.253906 1684769779.4356
MEM 76.058594 1684769779.5359
MEM 76.574219 1684769779.6362
MEM 77.210938 1684769779.7365
MEM 77.613281 1684769779.8368
MEM 78.167969 1684769779.9371
MEM 82.496094 1684769780.0374
MEM 83.390625 1684769780.1376
MEM 83.675781 1684769780.2379
MEM 84.191406 1684769780.3382
MEM 84.570312 1684769780.4385
MEM 85.304688 1684769780.5388
MEM 88.679688 1684769780.6391
MEM 89.679688 1684769780.7394
MEM 89.937500 1684769780.8397
MEM 90.671875 1684769780.9400
MEM 91.359375 1684769781.0403
MEM 92.683594 1684769781.1406
MEM 94.242188 1684769781.2409
MEM 95.199219 1684769781.3412
MEM 96.253906 1684769781.4414
MEM 97.304688 1684769781.5417
MEM 98.960938 1684769781.6420
MEM 99.734375 1684769781.7423
MEM 100.578125 1684769781.8426
MEM 101.261719 1684769781.9429
MEM 102.429688 1684769782.0432
MEM 107.703125 1684769782.1435
MEM 129.578125 1684769782.2438
MEM 142.714844 1684769782.3441
MEM 149.839844 1684769782.4444
MEM 157.281250 1684769782.5447
MEM 165.722656 1684769782.6450
MEM 177.445312 1684769782.7452
MEM 196.074219 1684769782.8455
MEM 200.937500 1684769782.9458
MEM 206.628906 1684769783.0474
MEM 207.691406 1684769783.1477
MEM 208.582031 1684769783.2480
MEM 210.035156 1684769783.3483
MEM 211.421875 1684769783.4486
MEM 212.148438 1684769783.5489
MEM 212.964844 1684769783.6492
MEM 213.449219 1684769783.7495
MEM 214.207031 1684769783.8498
MEM 214.722656 1684769783.9501
MEM 217.226562 1684769784.0504
MEM 217.984375 1684769784.1507
MEM 218.496094 1684769784.2509
MEM 218.753906 1684769784.3512
MEM 219.265625 1684769784.4515
MEM 219.781250 1684769784.5518
MEM 219.863281 1684769784.6521
MEM 221.441406 1684769784.7524
MEM 221.917969 1684769784.8527
MEM 222.714844 1684769784.9530
MEM 223.429688 1684769785.0533
MEM 224.382812 1684769785.1536
MEM 224.894531 1684769785.2539
MEM 225.667969 1684769785.3542
MEM 225.925781 1684769785.4544
MEM 227.890625 1684769785.5548
MEM 228.878906 1684769785.6551
MEM 229.917969 1684769785.7554
MEM 230.464844 1684769785.8557
MEM 230.980469 1684769785.9559
MEM 231.238281 1684769786.0562
MEM 231.492188 1684769786.1565
MEM 232.003906 1684769786.2568
MEM 232.261719 1684769786.3571
MEM 233.550781 1684769786.4574
MEM 236.062500 1684769786.5577
MEM 236.578125 1684769786.6580
MEM 237.386719 1684769786.7583
MEM 238.507812 1684769786.8585
MEM 239.320312 1684769786.9588
MEM 239.597656 1684769787.0591
MEM 240.464844 1684769787.1594
MEM 241.699219 1684769787.2597
MEM 243.351562 1684769787.3600
MEM 243.769531 1684769787.4603
MEM 244.406250 1684769787.5606
MEM 244.617188 1684769787.6609
MEM 245.218750 1684769787.7612
MEM 245.625000 1684769787.8615
MEM 245.800781 1684769787.9618
MEM 248.015625 1684769788.0621
MEM 248.429688 1684769788.1630
MEM 248.871094 1684769788.2632
MEM 282.996094 1684769788.3635
MEM 351.660156 1684769788.4638
MEM 351.660156 1684769788.5641
MEM 450.906250 1684769788.6644
MEM 584.230469 1684769788.7647
MEM 718.136719 1684769788.8650
MEM 852.558594 1684769788.9653
MEM 986.207031 1684769789.0656
MEM 1119.406250 1684769789.1659
MEM 1252.863281 1684769789.2662
MEM 1390.246094 1684769789.3665
MEM 1528.402344 1684769789.4668
MEM 1662.117188 1684769789.5671
MEM 1779.058594 1684769789.6674
MEM 1913.808594 1684769789.7677
MEM 2052.339844 1684769789.8680
MEM 2195.355469 1684769789.9682
MEM 2346.664062 1684769790.0685
MEM 2505.011719 1684769790.1688
MEM 2663.757812 1684769790.2691
MEM 2832.078125 1684769790.3694
MEM 3005.628906 1684769790.4697
MEM 3189.847656 1684769790.5700
MEM 3389.750000 1684769790.6703
MEM 3523.351562 1684769790.7706
MEM 3669.757812 1684769790.8709
MEM 3847.027344 1684769790.9712
MEM 4024.296875 1684769791.0715
MEM 4191.738281 1684769791.1718
MEM 4399.546875 1684769791.2721
MEM 4586.421875 1684769791.3724
MEM 4775.804688 1684769791.4726
MEM 4967.578125 1684769791.5729
MEM 5117.917969 1684769791.6732
MEM 5261.167969 1684769791.7735
MEM 5437.539062 1684769791.8738
MEM 5620.679688 1684769791.9741
MEM 5802.207031 1684769792.0744
MEM 5977.937500 1684769792.1747
MEM 6157.402344 1684769792.2750
MEM 6343.503906 1684769792.3753
MEM 6527.933594 1684769792.4756
MEM 6724.996094 1684769792.5759
MEM 6898.164062 1684769792.6762
MEM 7079.691406 1684769792.7765
MEM 7267.214844 1684769792.8767
MEM 7453.835938 1684769792.9770
MEM 7638.777344 1684769793.0773
MEM 7822.941406 1684769793.1776
