,H,D,MSE,Epochs
0,1,8,0.6350456427481593,10
1,2,8,0.28226030420797815,10
2,3,8,0.36511532801192115,10
3,4,8,0.5411571256710597,10
4,5,8,0.12436556152629134,10
5,1,8,0.2999977262814119,20
6,2,8,0.30309879582008464,20
7,3,8,0.8725625011067536,20
8,4,8,0.5363293357526847,20
9,5,8,0.8168745889507046,20
10,1,8,0.2761758575713345,30
11,2,8,0.31272326848310816,30
12,3,8,0.3048790026020822,30
13,4,8,0.1753150530104814,30
14,5,8,0.9901456897289574,30
15,1,8,0.22689253815312765,40
16,2,8,0.9413622331814828,40
17,3,8,1.1692828031074574,40
18,4,8,0.1635179353551132,40
19,5,8,0.4549971593065243,40
20,1,8,0.3365831632913331,50
21,2,8,0.4544399421874926,50
22,3,8,0.21848919636972067,50
23,4,8,0.7227101145935991,50
24,5,8,0.5309277692332429,50
25,1,8,0.5833240233926655,100
26,2,8,0.3368702367233357,100
27,3,8,0.5757238464771015,100
28,4,8,0.19423271542745413,100
29,5,8,0.42924667828867036,100
30,1,8,0.23418066831180606,150
31,2,8,0.057383350115231005,150
32,3,8,0.7927244715861411,150
33,4,8,0.10106514632425868,150
34,5,8,0.11226368795921285,150
